Datum,Stunde,Fleher Deich Ost stromaufwaerts,Wetter,Temperatur,Luftfeuchtigkeit,Wolken,Gefuehlte Temperatur,Regen,Wind
01.01.2014,00:00:00,1,Nieselregen,3,67,71,-2,0,21
01.01.2014,01:00:00,0,Nieselregen,3,71,72,-2,0,21
01.01.2014,02:00:00,1,Stellenweiser leichter Regenfall,3,75,74,-2,0,20
01.01.2014,03:00:00,1,Stellenweiser leichter Regenfall,2,79,75,-2,0,20
01.01.2014,04:00:00,0,Stellenweiser leichter Regenfall,2,82,62,-2,0,19
01.01.2014,05:00:00,0,Sonnig,2,86,49,-2,0,19
01.01.2014,06:00:00,0,Sonnig,2,90,36,-2,0,18
01.01.2014,07:00:00,0,Sonnig,3,90,26,-1,0,18
01.01.2014,08:00:00,0,Sonnig,3,90,17,-1,0,19
01.01.2014,09:00:00,2,Sonnig,4,91,8,0,0,19
01.01.2014,10:00:00,3,Sonnig,5,89,10,1,0,19
01.01.2014,11:00:00,8,Sonnig,5,87,11,1,0,20
01.01.2014,12:00:00,30,Sonnig,6,85,13,2,0,21
01.01.2014,13:00:00,27,Sonnig,6,85,21,2,0,22
01.01.2014,14:00:00,38,Leicht bewÃ¶lkt,6,85,29,2,0,23
01.01.2014,15:00:00,33,Leicht bewÃ¶lkt,6,85,37,3,0,24
01.01.2014,16:00:00,9,Leicht bewÃ¶lkt,6,86,47,2,0,25
01.01.2014,17:00:00,9,Nieselregen,6,86,57,1,0,26
01.01.2014,18:00:00,5,Nieselregen,5,87,67,1,0,27
01.01.2014,19:00:00,0,Nieselregen,5,87,69,0,0,28
01.01.2014,20:00:00,0,Stellenweiser leichter Regenfall,4,87,70,-1,0,29
01.01.2014,21:00:00,2,Stellenweiser leichter Regenfall,4,87,72,-1,0,30
01.01.2014,22:00:00,0,Stellenweiser leichter Regenfall,5,87,78,-1,0,30
01.01.2014,23:00:00,0,Nieselregen,5,86,84,0,0,31
02.01.2014,00:00:00,0,Nieselregen,6,86,90,1,0,31
02.01.2014,01:00:00,0,Nieselregen,6,86,90,1,0,31
02.01.2014,02:00:00,0,Leichter Regenfall,6,86,89,1,0,31
02.01.2014,03:00:00,0,Leichter Regenfall,6,86,89,1,0,31
02.01.2014,04:00:00,1,Leichter Regenfall,6,87,82,2,1,30
02.01.2014,05:00:00,4,Stellenweiser leichter Regenfall,6,87,74,2,1,29
02.01.2014,06:00:00,6,Stellenweiser leichter Regenfall,6,87,67,2,1,28
02.01.2014,07:00:00,7,Stellenweiser leichter Regenfall,7,87,69,3,1,27
02.01.2014,08:00:00,6,BewÃ¶lkt,7,87,71,3,0,27
02.01.2014,09:00:00,3,BewÃ¶lkt,8,87,73,4,0,26
02.01.2014,10:00:00,1,BewÃ¶lkt,8,87,70,4,0,26
02.01.2014,11:00:00,11,Leicht bewÃ¶lkt,8,86,67,5,0,26
02.01.2014,12:00:00,4,Leicht bewÃ¶lkt,9,85,65,5,0,27
02.01.2014,13:00:00,6,Leicht bewÃ¶lkt,9,86,62,5,0,27
02.01.2014,14:00:00,8,Stellenweiser leichter Regenfall,9,88,58,6,0,26
02.01.2014,15:00:00,4,Stellenweiser leichter Regenfall,9,89,55,6,0,26
02.01.2014,16:00:00,5,Stellenweiser leichter Regenfall,9,89,50,6,0,25
02.01.2014,17:00:00,7,Leicht bewÃ¶lkt,9,90,45,5,0,24
02.01.2014,18:00:00,7,Leicht bewÃ¶lkt,8,91,39,5,0,22
02.01.2014,19:00:00,5,Leicht bewÃ¶lkt,8,91,36,5,0,22
02.01.2014,20:00:00,0,Leicht bewÃ¶lkt,8,92,33,4,0,21
02.01.2014,21:00:00,4,Leicht bewÃ¶lkt,7,92,30,4,0,20
02.01.2014,22:00:00,4,Leicht bewÃ¶lkt,7,92,26,4,0,20
02.01.2014,23:00:00,0,Sonnig,7,92,22,3,0,19
03.01.2014,00:00:00,0,Sonnig,6,92,18,3,0,19
03.01.2014,01:00:00,0,Sonnig,6,92,18,2,0,20
03.01.2014,02:00:00,0,Sonnig,6,92,18,2,0,21
03.01.2014,03:00:00,0,Sonnig,6,92,18,2,0,22
03.01.2014,04:00:00,1,Sonnig,5,91,30,1,0,23
03.01.2014,05:00:00,7,BewÃ¶lkt,5,91,42,1,0,24
03.01.2014,06:00:00,7,BewÃ¶lkt,5,91,54,1,0,25
03.01.2014,07:00:00,4,BewÃ¶lkt,6,90,66,2,0,26
03.01.2014,08:00:00,16,Leichter Regenfall,7,89,78,2,0,27
03.01.2014,09:00:00,5,Leichter Regenfall,7,87,90,3,0,28
03.01.2014,10:00:00,3,Leichter Regenfall,8,87,83,4,0,28
03.01.2014,11:00:00,7,Leicht bewÃ¶lkt,9,86,77,5,0,28
03.01.2014,12:00:00,4,Leicht bewÃ¶lkt,9,85,71,6,0,28
03.01.2014,13:00:00,18,Leicht bewÃ¶lkt,9,85,57,6,0,28
03.01.2014,14:00:00,15,Sonnig,10,85,44,6,0,29
03.01.2014,15:00:00,12,Sonnig,10,85,31,6,0,29
03.01.2014,16:00:00,18,Sonnig,9,85,26,6,0,29
03.01.2014,17:00:00,10,Sonnig,9,85,21,5,0,29
03.01.2014,18:00:00,6,Sonnig,9,86,16,5,0,30
03.01.2014,19:00:00,1,Sonnig,8,84,13,4,0,30
03.01.2014,20:00:00,3,Sonnig,8,82,9,4,0,30
03.01.2014,21:00:00,2,Sonnig,7,80,6,3,0,30
03.01.2014,22:00:00,2,Sonnig,7,81,5,2,0,29
03.01.2014,23:00:00,0,Sonnig,6,81,4,2,0,29
04.01.2014,00:00:00,1,Sonnig,6,82,4,1,0,28
04.01.2014,01:00:00,0,Sonnig,6,83,5,1,0,27
04.01.2014,02:00:00,1,Sonnig,5,85,6,1,0,25
04.01.2014,03:00:00,0,Sonnig,5,86,7,1,0,23
04.01.2014,04:00:00,1,Sonnig,5,87,10,1,0,22
04.01.2014,05:00:00,1,Sonnig,5,89,12,1,0,22
04.01.2014,06:00:00,0,Sonnig,6,90,15,2,0,21
04.01.2014,07:00:00,2,Sonnig,6,90,18,2,0,22
04.01.2014,08:00:00,2,Leicht bewÃ¶lkt,6,90,22,2,0,22
04.01.2014,09:00:00,5,Leicht bewÃ¶lkt,6,90,26,3,0,22
04.01.2014,10:00:00,13,Leicht bewÃ¶lkt,7,88,31,3,0,23
04.01.2014,11:00:00,31,Leicht bewÃ¶lkt,7,86,37,4,0,23
04.01.2014,12:00:00,27,Leicht bewÃ¶lkt,8,85,42,5,0,23
04.01.2014,13:00:00,31,Leicht bewÃ¶lkt,8,86,56,5,0,23
04.01.2014,14:00:00,26,MÃ¤ÃŸiger Regenfall,8,87,69,5,0,23
04.01.2014,15:00:00,10,MÃ¤ÃŸiger Regenfall,9,87,83,5,1,23
04.01.2014,16:00:00,10,MÃ¤ÃŸiger Regenfall,8,88,75,5,1,23
04.01.2014,17:00:00,2,Stellenweiser leichter Regenfall,8,89,68,5,1,22
04.01.2014,18:00:00,2,Stellenweiser leichter Regenfall,8,90,61,4,1,22
04.01.2014,19:00:00,1,Stellenweiser leichter Regenfall,7,90,56,4,0,21
04.01.2014,20:00:00,3,Leicht bewÃ¶lkt,7,91,52,3,0,20
04.01.2014,21:00:00,1,Leicht bewÃ¶lkt,6,91,48,3,0,19
04.01.2014,22:00:00,0,Leicht bewÃ¶lkt,6,92,52,2,0,18
04.01.2014,23:00:00,0,BewÃ¶lkt,5,92,56,2,0,17
05.01.2014,00:00:00,0,BewÃ¶lkt,5,93,60,1,0,17
05.01.2014,01:00:00,0,BewÃ¶lkt,4,94,70,1,0,17
05.01.2014,02:00:00,0,MÃ¤ÃŸiger Regenfall,4,95,79,0,0,17
05.01.2014,03:00:00,0,MÃ¤ÃŸiger Regenfall,4,96,88,0,1,18
05.01.2014,04:00:00,0,MÃ¤ÃŸiger Regenfall,4,96,85,0,1,18
05.01.2014,05:00:00,2,Stellenweiser Nieselregen,4,97,83,0,1,18
05.01.2014,06:00:00,0,Stellenweiser Nieselregen,4,97,80,-1,0,18
05.01.2014,07:00:00,0,Stellenweiser Nieselregen,4,96,68,0,0,18
05.01.2014,08:00:00,0,Leicht bewÃ¶lkt,5,96,57,1,0,18
