Datum,Stunde,Fleher Deich Ost stromaufwaerts,Wetter,Temperatur,Luftfeuchtigkeit,Wolken,Gefuehlte Temperatur,Regen,Wind
01.01.2016,00:00:00,0,Sonnig,3,81,3,2,0,15
01.01.2016,01:00:00,3,Sonnig,3,83,15,1,0,15
01.01.2016,02:00:00,3,Stellenweiser Regenfall,3,84,26,1,0,15
01.01.2016,03:00:00,2,Stellenweiser Regenfall,3,85,38,1,0,15
01.01.2016,04:00:00,0,Stellenweiser Regenfall,3,87,53,1,0,14
01.01.2016,05:00:00,1,Nieselregen,4,88,69,1,0,13
01.01.2016,06:00:00,0,Nieselregen,4,89,84,1,0,12
01.01.2016,07:00:00,0,Nieselregen,4,91,79,2,0,11
01.01.2016,08:00:00,2,Leichter Nebel,4,92,73,3,0,10
01.01.2016,09:00:00,4,Leichter Nebel,4,94,68,4,0,9
01.01.2016,10:00:00,5,Leichter Nebel,4,92,59,5,0,8
01.01.2016,11:00:00,17,Leicht bew̦lkt,5,91,51,5,0,8
01.01.2016,12:00:00,9,Leicht bew̦lkt,5,89,42,6,0,7
01.01.2016,13:00:00,14,Leicht bew̦lkt,5,89,54,6,0,7
01.01.2016,14:00:00,26,Bedeckt,6,88,66,6,0,7
01.01.2016,15:00:00,17,Bedeckt,6,88,79,6,0,7
01.01.2016,16:00:00,13,Bedeckt,5,89,86,5,0,8
01.01.2016,17:00:00,1,Bedeckt,4,90,93,5,0,9
01.01.2016,18:00:00,3,Bedeckt,4,91,100,4,0,10
01.01.2016,19:00:00,0,Bedeckt,2,91,90,2,0,12
01.01.2016,20:00:00,0,Leicht bew̦lkt,0,91,80,0,0,13
01.01.2016,21:00:00,0,Leicht bew̦lkt,-2,91,70,-2,0,15
01.01.2016,22:00:00,1,Leicht bew̦lkt,-1,90,75,-2,0,18
01.01.2016,23:00:00,0,Bedeckt,0,89,80,-2,0,20
02.01.2016,00:00:00,0,Bedeckt,1,87,85,-2,0,22
02.01.2016,01:00:00,0,Bedeckt,2,84,74,-2,0,24
