Datum,Stunde,Fleher Deich Ost stromaufwÃ¤rts,Wetter,Temperatur,Luftfeuchtigkeit,Wolken,Gefuehlte Temperatur,Regen,Wind
01.01.2017,00:00:00,1,Sonnig,1,47,5,-3,0,10
01.01.2017,01:00:00,1,Sonnig,0,47,11,-4,0,11
01.01.2017,02:00:00,2,Sonnig,-1,46,17,-4,0,11
01.01.2017,03:00:00,2,Sonnig,-1,46,24,-5,0,12
01.01.2017,04:00:00,0,Sonnig,-1,45,23,-5,0,12
01.01.2017,05:00:00,1,Leicht bewÃ¶lkt,-1,45,22,-5,0,12
01.01.2017,06:00:00,0,Leicht bewÃ¶lkt,-1,44,22,-5,0,12
01.01.2017,07:00:00,0,Leicht bewÃ¶lkt,0,43,17,-4,0,12
01.01.2017,08:00:00,0,Sonnig,0,42,12,-4,0,12
01.01.2017,09:00:00,2,Sonnig,0,41,7,-3,0,12
01.01.2017,10:00:00,3,Sonnig,1,39,6,-3,0,13
01.01.2017,11:00:00,9,Sonnig,1,38,6,-3,0,14
01.01.2017,12:00:00,10,Sonnig,2,37,6,-2,0,15
01.01.2017,13:00:00,21,Sonnig,2,42,27,-2,0,14
01.01.2017,14:00:00,31,Sonnig,2,47,48,-1,0,13
01.01.2017,15:00:00,36,Sonnig,3,53,69,-1,0,12
01.01.2017,16:00:00,14,Sonnig,2,59,75,-1,0,12
01.01.2017,17:00:00,2,Bedeckt,2,65,81,-1,0,12
01.01.2017,18:00:00,0,Bedeckt,2,72,87,-2,0,12
01.01.2017,19:00:00,3,Bedeckt,1,75,89,-2,0,12
01.01.2017,20:00:00,1,BewÃ¶lkt,1,79,91,-3,0,12
01.01.2017,21:00:00,0,BewÃ¶lkt,0,82,93,-4,0,13
01.01.2017,22:00:00,0,BewÃ¶lkt,0,84,96,-4,0,12
01.01.2017,23:00:00,0,Bedeckt,-1,85,98,-4,0,12
02.01.2017,00:00:00,0,Bedeckt,-1,86,100,-5,0,12
02.01.2017,01:00:00,0,Bedeckt,-1,88,100,-5,0,13
02.01.2017,02:00:00,0,Leichter Regenfall,-1,90,100,-5,0,13
02.01.2017,03:00:00,0,Leichter Regenfall,-1,93,100,-6,0,14
02.01.2017,04:00:00,0,Leichter Regenfall,-1,94,100,-6,0,14
02.01.2017,05:00:00,5,Starker Schneefall,-1,96,100,-5,0,15
02.01.2017,06:00:00,9,Starker Schneefall,-1,97,100,-5,0,15
02.01.2017,07:00:00,21,Starker Schneefall,0,97,83,-5,0,14
02.01.2017,08:00:00,16,Leichter Eisregen,0,97,66,-4,0,14
02.01.2017,09:00:00,10,Leichter Eisregen,1,96,49,-3,0,13
02.01.2017,10:00:00,2,Leichter Eisregen,1,94,45,-3,0,14
02.01.2017,11:00:00,2,Sonnig,2,93,42,-2,0,14
02.01.2017,12:00:00,7,Sonnig,2,91,38,-2,0,14
02.01.2017,13:00:00,8,Sonnig,2,91,40,-1,0,14
02.01.2017,14:00:00,6,Leicht bewÃ¶lkt,3,92,43,-1,0,14
02.01.2017,15:00:00,11,Leicht bewÃ¶lkt,3,92,45,-1,0,14
02.01.2017,16:00:00,25,Leicht bewÃ¶lkt,2,93,46,-1,0,13
02.01.2017,17:00:00,12,Leicht bewÃ¶lkt,2,93,46,-1,0,12
02.01.2017,18:00:00,11,Leicht bewÃ¶lkt,2,94,47,-2,0,12
02.01.2017,19:00:00,5,Leicht bewÃ¶lkt,1,94,55,-2,0,12
02.01.2017,20:00:00,3,Leicht bewÃ¶lkt,1,95,63,-3,0,11
02.01.2017,21:00:00,1,Leicht bewÃ¶lkt,1,95,71,-3,0,11
02.01.2017,22:00:00,4,Leicht bewÃ¶lkt,0,95,71,-4,0,12
02.01.2017,23:00:00,4,Leichter Nebel,0,95,71,-4,0,13
03.01.2017,00:00:00,0,Leichter Nebel,-1,96,71,-5,0,13
03.01.2017,01:00:00,0,Leichter Nebel,-1,96,65,-5,0,13
03.01.2017,02:00:00,0,BewÃ¶lkt,-1,96,60,-5,0,14
03.01.2017,03:00:00,0,BewÃ¶lkt,-1,96,55,-5,0,14
03.01.2017,04:00:00,1,BewÃ¶lkt,-1,96,65,-6,0,15
