Date, 
1 August 2014,2279
2 August 2014,1440
3 August 2014,1186
4 August 2014,2129
5 August 2014,2335
6 August 2014,2184
7 August 2014,1845
8 August 2014,2175
9 August 2014,1296
10 August 2014,1171
11 August 2014,1713
12 August 2014,2123
13 August 2014,1241
14 August 2014,1612
15 August 2014,1256
16 August 2014,1133
17 August 2014,1140
18 August 2014,1609
19 August 2014,1845
20 August 2014,1868
21 August 2014,1923
22 August 2014,1693
23 August 2014,967
24 August 2014,994
25 August 2014,1529
26 August 2014,1230
27 August 2014,1439
28 August 2014,2015
29 August 2014,1317
30 August 2014,1278
31 August 2014,543
1 September 2014,1634
2 September 2014,1870
3 September 2014,1715
4 September 2014,1936
5 September 2014,1766
6 September 2014,1305
7 September 2014,1310
8 September 2014,2095
9 September 2014,2064
10 September 2014,2050
11 September 2014,1952
12 September 2014,1297
13 September 2014,1043
14 September 2014,1159
15 September 2014,2474
16 September 2014,2955
17 September 2014,2937
18 September 2014,2382
19 September 2014,1197
20 September 2014,1445
21 September 2014,608
22 September 2014,1958
23 September 2014,2234
24 September 2014,1923
25 September 2014,2020
26 September 2014,2137
27 September 2014,1518
28 September 2014,1341
29 September 2014,2403
30 September 2014,2028
1 October 2014,2186
2 October 2014,2188
3 October 2014,1230
4 October 2014,1256
5 October 2014,956
6 October 2014,2090
7 October 2014,1716
8 October 2014,2013
9 October 2014,2274
10 October 2014,1706
11 October 2014,1069
12 October 2014,1042
13 October 2014,1867
14 October 2014,2459
15 October 2014,2061
16 October 2014,1958
17 October 2014,1996
18 October 2014,1659
19 October 2014,1505
20 October 2014,2236
21 October 2014,1922
22 October 2014,1808
23 October 2014,2098
24 October 2014,2153
25 October 2014,1132
26 October 2014,1075
27 October 2014,1840
28 October 2014,2012
29 October 2014,1955
30 October 2014,1956
31 October 2014,1838
1 November 2014,1158
2 November 2014,1181
3 November 2014,2038
4 November 2014,2132
5 November 2014,1313
6 November 2014,2022
7 November 2014,1850
8 November 2014,1185
9 November 2014,864
10 November 2014,1686
11 November 2014,1945
12 November 2014,1817
13 November 2014,1867
14 November 2014,1858
15 November 2014,758
16 November 2014,670
17 November 2014,1667
18 November 2014,1857
19 November 2014,1883
20 November 2014,1778
21 November 2014,1652
22 November 2014,1025
23 November 2014,804
24 November 2014,1909
25 November 2014,1918
26 November 2014,1971
27 November 2014,1869
28 November 2014,1847
29 November 2014,900
30 November 2014,560
1 December 2014,1584
2 December 2014,1762
3 December 2014,1771
4 December 2014,1743
5 December 2014,1636
6 December 2014,661
7 December 2014,564
8 December 2014,1590
9 December 2014,1503
10 December 2014,1586
11 December 2014,1564
12 December 2014,1558
13 December 2014,952
14 December 2014,676
15 December 2014,1675
16 December 2014,1701
17 December 2014,1507
18 December 2014,1433
19 December 2014,1471
20 December 2014,809
21 December 2014,587
22 December 2014,1167
23 December 2014,1056
24 December 2014,530
25 December 2014,326
26 December 2014,330
27 December 2014,330
28 December 2014,218
29 December 2014,315
30 December 2014,325
31 December 2014,274
1 January 2015,201
2 January 2015,403
3 January 2015,377
4 January 2015,491
5 January 2015,922
6 January 2015,557
7 January 2015,1429
8 January 2015,1521
9 January 2015,1378
10 January 2015,758
11 January 2015,576
12 January 2015,1612
13 January 2015,1916
14 January 2015,1446
15 January 2015,1760
16 January 2015,1220
17 January 2015,521
18 January 2015,654
19 January 2015,1509
20 January 2015,1255
21 January 2015,1510
22 January 2015,1542
23 January 2015,1410
24 January 2015,687
25 January 2015,533
26 January 2015,1288
27 January 2015,1414
28 January 2015,1475
29 January 2015,1443
30 January 2015,1273
31 January 2015,730
1 February 2015,536
2 February 2015,1379
3 February 2015,1426
4 February 2015,1606
5 February 2015,1447
6 February 2015,1362
7 February 2015,708
8 February 2015,356
9 February 2015,1349
10 February 2015,1626
11 February 2015,1653
12 February 2015,1527
13 February 2015,1280
14 February 2015,755
15 February 2015,448
16 February 2015,1078
17 February 2015,1226
18 February 2015,1389
19 February 2015,1380
20 February 2015,1432
21 February 2015,489
22 February 2015,539
23 February 2015,1232
24 February 2015,1607
25 February 2015,1639
26 February 2015,1855
27 February 2015,1089
28 February 2015,851
1 March 2015,602
2 March 2015,1627
3 March 2015,1837
4 March 2015,1571
5 March 2015,1717
6 March 2015,1698
7 March 2015,1015
8 March 2015,1106
9 March 2015,1854
10 March 2015,1942
11 March 2015,1714
12 March 2015,1910
13 March 2015,1772
14 March 2015,1006
15 March 2015,1003
16 March 2015,1814
17 March 2015,1971
18 March 2015,1923
19 March 2015,1859
20 March 2015,1844
21 March 2015,968
22 March 2015,779
23 March 2015,1903
24 March 2015,1955
25 March 2015,1774
26 March 2015,1447
27 March 2015,1628
28 March 2015,1030
29 March 2015,610
30 March 2015,1166
31 March 2015,1182
1 April 2015,1164
2 April 2015,918
3 April 2015,685
4 April 2015,395
5 April 2015,511
6 April 2015,653
7 April 2015,1568
8 April 2015,1705
9 April 2015,1889
10 April 2015,1877
11 April 2015,718
12 April 2015,1402
13 April 2015,2253
14 April 2015,2391
15 April 2015,2570
16 April 2015,2264
17 April 2015,1131
18 April 2015,1344
19 April 2015,1582
20 April 2015,2397
21 April 2015,2632
22 April 2015,2582
23 April 2015,2719
24 April 2015,2429
25 April 2015,861
26 April 2015,1133
27 April 2015,1913
28 April 2015,1676
29 April 2015,2274
30 April 2015,1994
1 May 2015,364
2 May 2015,943
3 May 2015,510
4 May 2015,2167
5 May 2015,1998
6 May 2015,2349
7 May 2015,2654
8 May 2015,2361
9 May 2015,1337
10 May 2015,1708
11 May 2015,2667
12 May 2015,2623
13 May 2015,2499
14 May 2015,1052
15 May 2015,1000
16 May 2015,1365
17 May 2015,1348
18 May 2015,2544
19 May 2015,2129
20 May 2015,1611
21 May 2015,2267
22 May 2015,2209
23 May 2015,1321
24 May 2015,1037
25 May 2015,812
26 May 2015,1497
27 May 2015,1827
28 May 2015,1988
29 May 2015,1666
30 May 2015,1056
31 May 2015,1284
1 June 2015,1779
2 June 2015,2373
3 June 2015,2554
4 June 2015,1946
5 June 2015,2222
6 June 2015,1607
7 June 2015,1450
8 June 2015,2275
9 June 2015,2594
10 June 2015,2620
11 June 2015,2777
12 June 2015,2404
13 June 2015,1682
14 June 2015,1432
15 June 2015,1884
16 June 2015,2387
17 June 2015,2939
18 June 2015,2125
19 June 2015,2373
20 June 2015,1156
21 June 2015,1155
22 June 2015,2426
23 June 2015,2461
24 June 2015,2939
25 June 2015,2859
26 June 2015,2697
27 June 2015,1513
28 June 2015,1801
29 June 2015,2932
30 June 2015,3132
1 July 2015,3102
2 July 2015,3034
3 July 2015,2740
4 July 2015,1759
5 July 2015,1534
6 July 2015,2781
7 July 2015,2665
8 July 2015,2583
9 July 2015,2753
10 July 2015,2776
11 July 2015,1805
12 July 2015,1617
13 July 2015,2742
14 July 2015,3012
15 July 2015,3083
16 July 2015,3009
17 July 2015,2697
18 July 2015,1471
19 July 2015,1454
20 July 2015,2714
21 July 2015,2966
22 July 2015,2561
23 July 2015,2708
24 July 2015,2788
25 July 2015,1680
26 July 2015,1500
27 July 2015,2166
28 July 2015,2457
29 July 2015,2116
30 July 2015,2352
31 July 2015,2416
1 August 2015,1200
2 August 2015,1455
3 August 2015,2455
4 August 2015,2033
5 August 2015,2483
6 August 2015,2302
7 August 2015,2147
8 August 2015,1384
9 August 2015,1129
10 August 2015,1911
11 August 2015,2365
12 August 2015,2298
13 August 2015,2193
14 August 2015,1710
15 August 2015,1124
16 August 2015,718
17 August 2015,2007
18 August 2015,2079
19 August 2015,2027
20 August 2015,2115
21 August 2015,2086
22 August 2015,1428
23 August 2015,783
24 August 2015,1224
25 August 2015,2079
26 August 2015,2141
27 August 2015,2164
28 August 2015,1891
29 August 2015,1427
30 August 2015,1256
31 August 2015,2020
1 September 2015,1646
2 September 2015,1957
3 September 2015,2006
4 September 2015,1878
5 September 2015,1143
6 September 2015,884
7 September 2015,2026
8 September 2015,2166
9 September 2015,2180
10 September 2015,2210
11 September 2015,2075
12 September 2015,1359
13 September 2015,1163
14 September 2015,1990
15 September 2015,2191
16 September 2015,1828
17 September 2015,1594
18 September 2015,2130
19 September 2015,1034
20 September 2015,1304
21 September 2015,2352
22 September 2015,1997
23 September 2015,1935
24 September 2015,2384
25 September 2015,2287
26 September 2015,1394
27 September 2015,1128
28 September 2015,2302
29 September 2015,2390
30 September 2015,2429
1 October 2015,2256
2 October 2015,2202
3 October 2015,1206
4 October 2015,1155
5 October 2015,2060
6 October 2015,1979
7 October 2015,2166
8 October 2015,2197
9 October 2015,2132
10 October 2015,1237
11 October 2015,1068
12 October 2015,2258
13 October 2015,2278
14 October 2015,2138
15 October 2015,1815
16 October 2015,1846
17 October 2015,914
18 October 2015,918
19 October 2015,2191
20 October 2015,2333
21 October 2015,2374
22 October 2015,2236
23 October 2015,2048
24 October 2015,1287
25 October 2015,1192
26 October 2015,1933
27 October 2015,1950
28 October 2015,1869
29 October 2015,2007
30 October 2015,2017
31 October 2015,1125
1 November 2015,729
2 November 2015,1703
3 November 2015,1850
4 November 2015,1973
5 November 2015,2066
6 November 2015,1967
7 November 2015,1477
8 November 2015,1284
9 November 2015,2290
10 November 2015,2525
11 November 2015,2413
12 November 2015,2377
13 November 2015,2053
14 November 2015,1134
15 November 2015,871
16 November 2015,2313
17 November 2015,2123
18 November 2015,2312
19 November 2015,2138
20 November 2015,1305
21 November 2015,735
22 November 2015,542
23 November 2015,1798
24 November 2015,1931
25 November 2015,1489
26 November 2015,1670
27 November 2015,1702
28 November 2015,806
29 November 2015,579
30 November 2015,1680
1 December 2015,1780
2 December 2015,2193
3 December 2015,1972
4 December 2015,1798
5 December 2015,942
6 December 2015,967
7 December 2015,2045
8 December 2015,2121
9 December 2015,1879
10 December 2015,1898
11 December 2015,1746
12 December 2015,1063
13 December 2015,826
14 December 2015,1878
15 December 2015,2078
16 December 2015,1874
17 December 2015,2099
18 December 2015,1920
19 December 2015,1247
20 December 2015,860
21 December 2015,1481
22 December 2015,1766
23 December 2015,1334
24 December 2015,644
25 December 2015,505
26 December 2015,533
27 December 2015,626
28 December 2015,990
29 December 2015,1135
30 December 2015,901
31 December 2015,574
1 January 2016,433
2 January 2016,405
3 January 2016,521
4 January 2016,997
5 January 2016,1163
6 January 2016,430
7 January 2016,1200
8 January 2016,1270
9 January 2016,786
10 January 2016,597
11 January 2016,1325
12 January 2016,1543
13 January 2016,1568
14 January 2016,1789
15 January 2016,1496
16 January 2016,588
17 January 2016,399
18 January 2016,1190
19 January 2016,1364
20 January 2016,1463
21 January 2016,1424
22 January 2016,1362
23 January 2016,864
24 January 2016,599
25 January 2016,1811
26 January 2016,2007
27 January 2016,1929
28 January 2016,1718
29 January 2016,1851
30 January 2016,716
31 January 2016,509
1 February 2016,1813
2 February 2016,1907
3 February 2016,1503
4 February 2016,1492
5 February 2016,1554
6 February 2016,1000
7 February 2016,520
8 February 2016,981
9 February 2016,1122
10 February 2016,1344
11 February 2016,1595
12 February 2016,1515
13 February 2016,667
14 February 2016,459
15 February 2016,1490
16 February 2016,1752
17 February 2016,1643
18 February 2016,1850
19 February 2016,1519
20 February 2016,654
21 February 2016,717
22 February 2016,1912
23 February 2016,1492
24 February 2016,1829
25 February 2016,1252
26 February 2016,1602
27 February 2016,995
28 February 2016,643
29 February 2016,1528
1 March 2016,1726
2 March 2016,1355
3 March 2016,1425
4 March 2016,1415
5 March 2016,754
6 March 2016,609
7 March 2016,1565
8 March 2016,1322
9 March 2016,1801
10 March 2016,1846
11 March 2016,1706
12 March 2016,1017
13 March 2016,822
14 March 2016,1848
15 March 2016,1756
16 March 2016,1743
17 March 2016,2005
18 March 2016,2028
19 March 2016,1112
20 March 2016,832
21 March 2016,1907
22 March 2016,2047
23 March 2016,1809
24 March 2016,1636
25 March 2016,374
26 March 2016,1132
27 March 2016,490
28 March 2016,609
29 March 2016,1558
30 March 2016,1406
31 March 2016,1823
1 April 2016,1378
2 April 2016,1186
3 April 2016,1551
4 April 2016,2146
5 April 2016,1887
6 April 2016,2211
7 April 2016,1896
8 April 2016,2068
9 April 2016,1104
10 April 2016,1485
11 April 2016,2494
12 April 2016,2416
13 April 2016,1930
14 April 2016,2461
15 April 2016,1571
16 April 2016,844
17 April 2016,695
18 April 2016,1718
19 April 2016,2781
20 April 2016,2933
21 April 2016,3498
22 April 2016,2652
23 April 2016,756
24 April 2016,882
25 April 2016,2003
26 April 2016,1650
27 April 2016,2050
28 April 2016,2195
29 April 2016,2562
30 April 2016,1371
1 May 2016,661
2 May 2016,2534
3 May 2016,2267
4 May 2016,2740
5 May 2016,1986
6 May 2016,2291
7 May 2016,1998
8 May 2016,1684
9 May 2016,2760
10 May 2016,2467
11 May 2016,2539
12 May 2016,1759
13 May 2016,1726
14 May 2016,827
15 May 2016,856
16 May 2016,531
17 May 2016,1892
18 May 2016,2073
19 May 2016,1503
20 May 2016,2055
21 May 2016,1634
22 May 2016,1282
23 May 2016,1099
24 May 2016,1659
25 May 2016,2261
26 May 2016,1850
27 May 2016,2068
28 May 2016,1476
29 May 2016,884
30 May 2016,1659
31 May 2016,2576
1 June 2016,2789
2 June 2016,2206
3 June 2016,2238
4 June 2016,979
5 June 2016,1225
6 June 2016,2868
7 June 2016,2905
8 June 2016,1915
9 June 2016,2796
10 June 2016,2906
11 June 2016,1270
12 June 2016,939
13 June 2016,2027
14 June 2016,2069
15 June 2016,2005
16 June 2016,1840
17 June 2016,1885
18 June 2016,1428
19 June 2016,1350
20 June 2016,2753
21 June 2016,2651
22 June 2016,3142
23 June 2016,3073
24 June 2016,2832
25 June 2016,1197
26 June 2016,1539
27 June 2016,2748
28 June 2016,3098
29 June 2016,3027
30 June 2016,2644
1 July 2016,2835
2 July 2016,1222
3 July 2016,1567
4 July 2016,3019
5 July 2016,3204
6 July 2016,3140
7 July 2016,3320
8 July 2016,2908
9 July 2016,1927
10 July 2016,1892
11 July 2016,2674
12 July 2016,2344
13 July 2016,2136
14 July 2016,2402
15 July 2016,2599
16 July 2016,1866
17 July 2016,1810
18 July 2016,3109
19 July 2016,3342
20 July 2016,3151
21 July 2016,2965
22 July 2016,2514
23 July 2016,1890
24 July 2016,1715
25 July 2016,3018
26 July 2016,3124
27 July 2016,3103
28 July 2016,2798
29 July 2016,2671
30 July 2016,1722
31 July 2016,961
1 August 2016,2609
2 August 2016,1856
3 August 2016,2655
4 August 2016,2272
5 August 2016,1822
6 August 2016,1667
7 August 2016,1632
8 August 2016,2319
9 August 2016,1842
10 August 2016,2163
11 August 2016,2287
12 August 2016,2091
13 August 2016,1614
14 August 2016,1558
15 August 2016,2264
16 August 2016,2510
17 August 2016,2358
18 August 2016,1804
19 August 2016,2048
20 August 2016,941
21 August 2016,1166
22 August 2016,2180
23 August 2016,2392
24 August 2016,2401
25 August 2016,2340
26 August 2016,2121
27 August 2016,1440
28 August 2016,1299
29 August 2016,2074
30 August 2016,2371
31 August 2016,2477
1 September 2016,2372
2 September 2016,2249
3 September 2016,1434
4 September 2016,818
5 September 2016,1527
6 September 2016,2506
7 September 2016,2529
8 September 2016,2526
9 September 2016,2516
10 September 2016,1784
11 September 2016,1624
12 September 2016,2913
13 September 2016,2990
14 September 2016,2919
15 September 2016,2553
16 September 2016,2127
17 September 2016,1418
18 September 2016,618
19 September 2016,2376
20 September 2016,2628
21 September 2016,2778
22 September 2016,2673
23 September 2016,2485
24 September 2016,1714
25 September 2016,1525
26 September 2016,2450
27 September 2016,2506
28 September 2016,2660
29 September 2016,2758
30 September 2016,2479
1 October 2016,1091
2 October 2016,985
3 October 2016,1244
4 October 2016,2487
5 October 2016,2554
6 October 2016,2510
7 October 2016,2230
8 October 2016,1296
9 October 2016,727
10 October 2016,2313
11 October 2016,2357
12 October 2016,2398
13 October 2016,2465
14 October 2016,2209
15 October 2016,1429
16 October 2016,1454
17 October 2016,2250
18 October 2016,2285
19 October 2016,2391
20 October 2016,2283
21 October 2016,1991
22 October 2016,1264
23 October 2016,592
24 October 2016,2094
25 October 2016,2034
26 October 2016,2342
27 October 2016,2508
28 October 2016,2158
29 October 2016,1220
30 October 2016,811
31 October 2016,1533
1 November 2016,978
2 November 2016,1857
3 November 2016,2003
4 November 2016,1765
5 November 2016,665
6 November 2016,596
7 November 2016,1934
8 November 2016,1985
9 November 2016,1866
10 November 2016,1852
11 November 2016,1753
12 November 2016,851
13 November 2016,750
14 November 2016,1937
15 November 2016,2001
16 November 2016,1723
17 November 2016,1990
18 November 2016,1506
19 November 2016,740
20 November 2016,925
21 November 2016,2067
22 November 2016,2037
23 November 2016,1955
24 November 2016,1947
25 November 2016,1895
26 November 2016,969
27 November 2016,771
28 November 2016,1940
29 November 2016,1990
30 November 2016,1896
1 December 2016,1951
2 December 2016,1861
3 December 2016,880
4 December 2016,682
5 December 2016,1829
6 December 2016,1761
7 December 2016,1721
8 December 2016,1794
9 December 2016,1788
10 December 2016,1061
