Date,Total
1 January 2015,448
2 January 2015,726
3 January 2015,749
4 January 2015,899
5 January 2015,1781
6 January 2015,1119
7 January 2015,2596
8 January 2015,2800
9 January 2015,2533
10 January 2015,1592
11 January 2015,1313
12 January 2015,3101
13 January 2015,3431
14 January 2015,2885
15 January 2015,3380
16 January 2015,2282
17 January 2015,1327
18 January 2015,1344
19 January 2015,2811
20 January 2015,2571
21 January 2015,2974
22 January 2015,3015
23 January 2015,2646
24 January 2015,1515
25 January 2015,1125
26 January 2015,2344
27 January 2015,2827
28 January 2015,2965
29 January 2015,2888
30 January 2015,2538
31 January 2015,1669
1 February 2015,1215
2 February 2015,2442
3 February 2015,2743
4 February 2015,2735
5 February 2015,2744
6 February 2015,2419
7 February 2015,1410
8 February 2015,905
9 February 2015,2438
10 February 2015,2854
11 February 2015,2823
12 February 2015,2820
13 February 2015,2450
14 February 2015,1505
15 February 2015,1073
16 February 2015,1994
17 February 2015,2193
18 February 2015,2382
19 February 2015,2543
20 February 2015,2554
21 February 2015,1203
22 February 2015,1114
23 February 2015,2050
24 February 2015,2784
25 February 2015,2769
26 February 2015,2923
27 February 2015,1737
28 February 2015,1657
1 March 2015,1140
2 March 2015,2516
3 March 2015,2915
4 March 2015,2615
5 March 2015,2852
6 March 2015,2742
7 March 2015,1841
8 March 2015,1689
9 March 2015,2883
10 March 2015,2956
11 March 2015,2780
12 March 2015,3031
13 March 2015,2859
14 March 2015,1892
15 March 2015,1584
16 March 2015,2751
17 March 2015,3081
18 March 2015,3118
19 March 2015,3111
20 March 2015,2951
21 March 2015,1750
22 March 2015,1355
23 March 2015,3030
24 March 2015,3075
25 March 2015,2872
26 March 2015,2553
27 March 2015,2705
28 March 2015,1741
29 March 2015,1474
30 March 2015,1924
31 March 2015,1993
1 April 2015,2003
2 April 2015,1590
3 April 2015,996
4 April 2015,646
5 April 2015,819
6 April 2015,922
7 April 2015,2388
8 April 2015,2632
9 April 2015,2863
10 April 2015,2903
11 April 2015,1423
12 April 2015,1895
13 April 2015,3600
14 April 2015,3899
15 April 2015,4087
16 April 2015,3803
17 April 2015,2029
18 April 2015,2342
19 April 2015,2491
20 April 2015,3968
21 April 2015,4546
22 April 2015,4439
23 April 2015,4533
24 April 2015,4112
25 April 2015,2035
26 April 2015,2004
27 April 2015,3498
28 April 2015,3191
29 April 2015,4393
30 April 2015,3675
1 May 2015,953
2 May 2015,1598
3 May 2015,1093
4 May 2015,3662
5 May 2015,3802
6 May 2015,4355
7 May 2015,4670
8 May 2015,4154
9 May 2015,2779
10 May 2015,2536
11 May 2015,4436
12 May 2015,4798
13 May 2015,4203
14 May 2015,1847
15 May 2015,1822
16 May 2015,2267
17 May 2015,2237
18 May 2015,4258
19 May 2015,3952
20 May 2015,3165
21 May 2015,4178
22 May 2015,3744
23 May 2015,2224
24 May 2015,1581
25 May 2015,1211
26 May 2015,2549
27 May 2015,2845
28 May 2015,3125
29 May 2015,2693
30 May 2015,1805
31 May 2015,1914
1 June 2015,3303
2 June 2015,3961
3 June 2015,4147
4 June 2015,3000
5 June 2015,3259
6 June 2015,2395
7 June 2015,2145
8 June 2015,3869
9 June 2015,4366
10 June 2015,4437
11 June 2015,4725
12 June 2015,3854
13 June 2015,2981
14 June 2015,2333
15 June 2015,3176
16 June 2015,4083
17 June 2015,4696
18 June 2015,3520
19 June 2015,3735
20 June 2015,2173
21 June 2015,1755
22 June 2015,3880
23 June 2015,4096
24 June 2015,4481
25 June 2015,4495
26 June 2015,3942
27 June 2015,2604
28 June 2015,2593
29 June 2015,4255
30 June 2015,4606
1 July 2015,4829
2 July 2015,4524
3 July 2015,4164
4 July 2015,2780
5 July 2015,2151
6 July 2015,4327
7 July 2015,4233
8 July 2015,4157
9 July 2015,4387
10 July 2015,4145
11 July 2015,2818
12 July 2015,2527
13 July 2015,4242
14 July 2015,4453
15 July 2015,4713
16 July 2015,4638
17 July 2015,4050
18 July 2015,2529
19 July 2015,2719
20 July 2015,4243
21 July 2015,4267
22 July 2015,3904
23 July 2015,4039
24 July 2015,4091
25 July 2015,2635
26 July 2015,1976
27 July 2015,3309
28 July 2015,3735
29 July 2015,3229
30 July 2015,3768
31 July 2015,3582
1 August 2015,2146
2 August 2015,2029
3 August 2015,3332
4 August 2015,3127
5 August 2015,3424
6 August 2015,3289
7 August 2015,3129
8 August 2015,2252
9 August 2015,1725
10 August 2015,2742
11 August 2015,3170
12 August 2015,3218
13 August 2015,2878
14 August 2015,2428
15 August 2015,1717
16 August 2015,1177
17 August 2015,2753
18 August 2015,2950
19 August 2015,2838
20 August 2015,2968
21 August 2015,2737
22 August 2015,1964
23 August 2015,1151
24 August 2015,1904
25 August 2015,2767
26 August 2015,2959
27 August 2015,2842
28 August 2015,2697
29 August 2015,1878
30 August 2015,1566
31 August 2015,2890
1 September 2015,2319
2 September 2015,2905
3 September 2015,2860
4 September 2015,2730
5 September 2015,1908
6 September 2015,1274
7 September 2015,2829
8 September 2015,3067
9 September 2015,3165
10 September 2015,3188
11 September 2015,2983
12 September 2015,2018
13 September 2015,1488
14 September 2015,2696
15 September 2015,2964
16 September 2015,2575
17 September 2015,2420
18 September 2015,2853
19 September 2015,1696
20 September 2015,1641
21 September 2015,3326
22 September 2015,2768
23 September 2015,2738
24 September 2015,3118
25 September 2015,3022
26 September 2015,2158
27 September 2015,1661
28 September 2015,3117
29 September 2015,3246
30 September 2015,3392
1 October 2015,3371
2 October 2015,3096
3 October 2015,1846
4 October 2015,1554
5 October 2015,3111
6 October 2015,3040
7 October 2015,3310
8 October 2015,3444
9 October 2015,3339
10 October 2015,2005
11 October 2015,1740
12 October 2015,3388
13 October 2015,3430
14 October 2015,3325
15 October 2015,3041
16 October 2015,2946
17 October 2015,1934
18 October 2015,1675
19 October 2015,3706
20 October 2015,3807
21 October 2015,3880
22 October 2015,3796
23 October 2015,3524
24 October 2015,2334
25 October 2015,2052
26 October 2015,3760
27 October 2015,3735
28 October 2015,3696
29 October 2015,3800
30 October 2015,3496
31 October 2015,2334
1 November 2015,1531
2 November 2015,3155
