date,Location,min.temp,max.temp,Total
2015-01-01,1,-4.7,-1.8,726
2015-01-01,2,-4.7,-1.8,201
2015-01-01,3,-4.7,-1.8,448
2015-01-01,4,-4.7,-1.8,925
2015-01-02,1,-7.0,5.6,1169
2015-01-02,2,-7.0,5.6,403
2015-01-02,3,-7.0,5.6,726
2015-01-02,4,-7.0,5.6,1819
2015-01-03,1,0.9,10.9,1667
2015-01-03,2,0.9,10.9,377
2015-01-03,3,0.9,10.9,749
2015-01-03,4,0.9,10.9,2376
2015-01-04,1,1.1,4.9,2126
2015-01-04,2,1.1,4.9,491
2015-01-04,3,1.1,4.9,899
2015-01-04,4,1.1,4.9,2179
2015-01-05,1,-5.0,4.1,4213
2015-01-05,2,-5.0,4.1,922
2015-01-05,3,-5.0,4.1,1781
2015-01-05,4,-5.0,4.1,5157
2015-01-06,1,-6.0,3.2,2652
2015-01-06,2,-6.0,3.2,557
2015-01-06,3,-6.0,3.2,1119
2015-01-06,4,-6.0,3.2,2767
2015-01-07,1,1.2,4.0,6482
2015-01-07,2,1.2,4.0,1429
2015-01-07,3,1.2,4.0,2596
2015-01-07,4,1.2,4.0,7155
2015-01-08,1,8.5,10.4,6788
2015-01-08,2,8.5,10.4,1521
2015-01-08,3,8.5,10.4,2800
2015-01-08,4,8.5,10.4,7857
2015-01-09,1,8.6,10.9,6188
2015-01-09,2,8.6,10.9,1378
2015-01-09,3,8.6,10.9,2533
2015-01-09,4,8.6,10.9,7255
2015-01-10,1,12.8,14.6,4025
2015-01-10,2,12.8,14.6,758
2015-01-10,3,12.8,14.6,1592
2015-01-10,4,12.8,14.6,5584
2015-01-11,1,3.8,4.6,2929
2015-01-11,2,3.8,4.6,576
2015-01-11,3,3.8,4.6,1313
2015-01-11,4,3.8,4.6,3199
2015-01-12,1,5.5,8.2,7628
2015-01-12,2,5.5,8.2,1612
2015-01-12,3,5.5,8.2,3101
2015-01-12,4,5.5,8.2,8393
2015-01-13,1,12.1,14.3,9166
2015-01-13,2,12.1,14.3,1916
2015-01-13,3,12.1,14.3,3431
2015-01-13,4,12.1,14.3,9462
2015-01-14,1,7.2,8.2,6649
2015-01-14,2,7.2,8.2,1446
2015-01-14,3,7.2,8.2,2885
2015-01-14,4,7.2,8.2,7382
2015-01-15,1,9.4,13.1,8195
2015-01-15,2,9.4,13.1,1760
2015-01-15,3,9.4,13.1,3380
2015-01-15,4,9.4,13.1,9010
2015-01-16,1,5.2,6.9,5332
2015-01-16,2,5.2,6.9,1220
2015-01-16,3,5.2,6.9,2282
2015-01-16,4,5.2,6.9,5835
2015-01-17,1,3.6,4.5,3239
2015-01-17,2,3.6,4.5,521
2015-01-17,3,3.6,4.5,1327
2015-01-17,4,3.6,4.5,3947
2015-01-18,1,-2.0,3.7,3270
2015-01-18,2,-2.0,3.7,654
2015-01-18,3,-2.0,3.7,1344
2015-01-18,4,-2.0,3.7,3368
2015-01-19,1,-1.5,2.3,6579
2015-01-19,2,-1.5,2.3,1509
2015-01-19,3,-1.5,2.3,2811
2015-01-19,4,-1.5,2.3,7270
2015-01-20,1,0.3,0.9,6100
2015-01-20,2,0.3,0.9,1255
2015-01-20,3,0.3,0.9,2571
2015-01-20,4,0.3,0.9,6780
2015-01-21,1,0.2,2.2,7278
2015-01-21,2,0.2,2.2,1510
2015-01-21,3,0.2,2.2,2974
2015-01-21,4,0.2,2.2,8062
2015-01-22,1,-0.1,1.4,7167
2015-01-22,2,-0.1,1.4,1542
2015-01-22,3,-0.1,1.4,3015
2015-01-22,4,-0.1,1.4,8293
2015-01-23,1,0.4,1.5,6781
2015-01-23,2,0.4,1.5,1410
2015-01-23,3,0.4,1.5,2646
2015-01-23,4,0.4,1.5,7968
2015-01-24,1,0.4,3.1,3875
2015-01-24,2,0.4,3.1,687
2015-01-24,3,0.4,3.1,1515
2015-01-24,4,0.4,3.1,4637
2015-01-25,1,0.0,2.8,2585
2015-01-25,2,0.0,2.8,533
2015-01-25,3,0.0,2.8,1125
2015-01-25,4,0.0,2.8,2924
2015-01-26,1,0.5,2.3,5073
2015-01-26,2,0.5,2.3,1288
2015-01-26,3,0.5,2.3,2344
2015-01-26,4,0.5,2.3,6145
2015-01-27,1,1.2,4.0,6646
2015-01-27,2,1.2,4.0,1414
2015-01-27,3,1.2,4.0,2827
2015-01-27,4,1.2,4.0,7323
2015-01-28,1,0.5,6.1,7155
2015-01-28,2,0.5,6.1,1475
2015-01-28,3,0.5,6.1,2965
2015-01-28,4,0.5,6.1,7885
2015-01-29,1,1.7,5.6,6503
2015-01-29,2,1.7,5.6,1443
2015-01-29,3,1.7,5.6,2888
2015-01-29,4,1.7,5.6,7905
2015-01-30,1,1.1,2.8,5798
2015-01-30,2,1.1,2.8,1273
2015-01-30,3,1.1,2.8,2538
2015-01-30,4,1.1,2.8,7188
2015-01-31,1,2.0,5.5,5316
2015-01-31,2,2.0,5.5,730
2015-01-31,3,2.0,5.5,1669
2015-01-31,4,2.0,5.5,4837
2015-02-01,1,1.3,1.9,2383
2015-02-01,2,1.3,1.9,536
2015-02-01,3,1.3,1.9,1215
2015-02-01,4,1.3,1.9,2646
2015-02-02,1,0.8,2.7,5720
2015-02-02,2,0.8,2.7,1379
2015-02-02,3,0.8,2.7,2442
2015-02-02,4,0.8,2.7,6543
2015-02-03,1,-1.1,1.0,6162
2015-02-03,2,-1.1,1.0,1426
2015-02-03,3,-1.1,1.0,2743
2015-02-03,4,-1.1,1.0,7519
2015-02-04,1,-5.2,1.3,6719
2015-02-04,2,-5.2,1.3,1606
2015-02-04,3,-5.2,1.3,2735
2015-02-04,4,-5.2,1.3,7954
2015-02-05,1,-1.0,-0.3,6286
2015-02-05,2,-1.0,-0.3,1447
2015-02-05,3,-1.0,-0.3,2744
2015-02-05,4,-1.0,-0.3,7295
2015-02-06,1,-0.9,0.7,6052
2015-02-06,2,-0.9,0.7,1362
2015-02-06,3,-0.9,0.7,2419
2015-02-06,4,-0.9,0.7,6998
2015-02-07,1,-5.7,0.7,5586
2015-02-07,2,-5.7,0.7,708
2015-02-07,3,-5.7,0.7,1410
2015-02-07,4,-5.7,0.7,5113
2015-02-08,1,-2.6,-0.5,1681
2015-02-08,2,-2.6,-0.5,356
2015-02-08,3,-2.6,-0.5,905
2015-02-08,4,-2.6,-0.5,2130
2015-02-09,1,-1.7,2.9,5818
2015-02-09,2,-1.7,2.9,1349
2015-02-09,3,-1.7,2.9,2438
2015-02-09,4,-1.7,2.9,6793
2015-02-10,1,-1.1,5.7,7049
2015-02-10,2,-1.1,5.7,1626
2015-02-10,3,-1.1,5.7,2854
2015-02-10,4,-1.1,5.7,7778
2015-02-11,1,-5.6,2.0,6846
2015-02-11,2,-5.6,2.0,1653
2015-02-11,3,-5.6,2.0,2823
2015-02-11,4,-5.6,2.0,7842
2015-02-12,1,-5.6,0.7,6763
2015-02-12,2,-5.6,0.7,1527
2015-02-12,3,-5.6,0.7,2820
2015-02-12,4,-5.6,0.7,7801
2015-02-13,1,-3.5,4.6,5863
2015-02-13,2,-3.5,4.6,1280
2015-02-13,3,-3.5,4.6,2450
2015-02-13,4,-3.5,4.6,7034
2015-02-14,1,5.7,10.8,3786
2015-02-14,2,5.7,10.8,755
2015-02-14,3,5.7,10.8,1505
2015-02-14,4,5.7,10.8,4832
2015-02-15,1,0.1,0.6,2223
2015-02-15,2,0.1,0.6,448
2015-02-15,3,0.1,0.6,1073
2015-02-15,4,0.1,0.6,2673
2015-02-16,1,0.5,1.2,4316
2015-02-16,2,0.5,1.2,1078
2015-02-16,3,0.5,1.2,1994
2015-02-16,4,0.5,1.2,5145
2015-02-17,1,-999.0,1.1,5059
2015-02-17,2,-999.0,1.1,1226
2015-02-17,3,-999.0,1.1,2193
2015-02-17,4,-999.0,1.1,6159
2015-02-18,1,-999.0,5.0,5702
2015-02-18,2,-999.0,5.0,1389
2015-02-18,3,-999.0,5.0,2382
2015-02-18,4,-999.0,5.0,6617
2015-02-19,1,-0.1,2.9,5526
2015-02-19,2,-0.1,2.9,1380
2015-02-19,3,-0.1,2.9,2543
2015-02-19,4,-0.1,2.9,6713
2015-02-20,1,-4.3,12.7,5924
2015-02-20,2,-4.3,12.7,1432
2015-02-20,3,-4.3,12.7,2554
2015-02-20,4,-4.3,12.7,6908
2015-02-21,1,3.8,6.0,3380
2015-02-21,2,3.8,6.0,489
2015-02-21,3,3.8,6.0,1203
2015-02-21,4,3.8,6.0,3511
2015-02-22,1,1.8,4.3,2257
2015-02-22,2,1.8,4.3,539
2015-02-22,3,1.8,4.3,1114
2015-02-22,4,1.8,4.3,2846
2015-02-23,1,1.8,7.9,4375
2015-02-23,2,1.8,7.9,1232
2015-02-23,3,1.8,7.9,2050
2015-02-23,4,1.8,7.9,5120
2015-02-24,1,4.1,5.9,6747
2015-02-24,2,4.1,5.9,1607
2015-02-24,3,4.1,5.9,2784
2015-02-24,4,4.1,5.9,7234
2015-02-25,1,2.4,7.6,6977
2015-02-25,2,2.4,7.6,1639
2015-02-25,3,2.4,7.6,2769
2015-02-25,4,2.4,7.6,7899
2015-02-26,1,-0.7,9.1,7372
2015-02-26,2,-0.7,9.1,1855
2015-02-26,3,-0.7,9.1,2923
2015-02-26,4,-0.7,9.1,7954
2015-02-27,1,3.5,4.9,3899
2015-02-27,2,3.5,4.9,1089
2015-02-27,3,3.5,4.9,1737
2015-02-27,4,3.5,4.9,4620
2015-02-28,1,2.2,6.2,4350
2015-02-28,2,2.2,6.2,851
2015-02-28,3,2.2,6.2,1657
2015-02-28,4,2.2,6.2,5159
2015-03-01,1,3.2,11.0,2460
2015-03-01,2,3.2,11.0,602
2015-03-01,3,3.2,11.0,1140
2015-03-01,4,3.2,11.0,2801
2015-03-02,1,4.8,10.5,6284
