Month,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße
Januar,11163,5305,24945,24029
Februar,20864,10307,36684,41720
März,59095,31571,88508,104589
April,119409,51114,128914,156736
Mai,104024,44835,117117,146224
Juni,148958,71418,162318,198659
Juli,153733,92148,170360,192331
August,114508,72470,124198,127829
September,112595,66268,125170,136378
Oktober,106332,60102,118429,144182
November,68658,38502,90719,120735
Dezember,32131,17149,48624,61581
Jahressumme,1051470,561189,1235986,1454993
