Month,Bonner Straße,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Venloer Straße,Zülpicher Straße
Januar,54612,86858,41411,103601,,108890
Februar,50484,76101,39077,94467,,95071
März,69363,146292,76349,156292,,133782
April,73767,171151,89753,163502,,158766
Mai,77729,194385,84366,169143,,171016
Juni,84640,198912,86359,171388,,172063
Juli,79045,157057,85650,170948,162927,169018
August,74138,109345,76015,160466,135289,136581
September,83533,146760,77223,165045,158170,160629
Oktober,74189,129077,60676,143696,145794,168487
November,64732,107087,44724,123999,122183,140043
Dezember,49205,75358,37660,93811,88448,91693
Jahressumme,835437,1598383,799263,1716357,807153,1706039
