,index,Date,Location,Total,MinTemp,MaxTemp,RainfallVolume,AvgTemp
0,365,2015-01-01,Erhardt,137.0,-10.0,1.0,0.0,-4.5
1,366,2015-01-02,Erhardt,281.0,-11.8,3.9,5.6,-3.95
2,367,2015-01-03,Erhardt,269.0,0.2,4.2,26.4,2.2
3,368,2015-01-04,Erhardt,375.0,0.7,2.3,0.0,1.5
4,369,2015-01-05,Erhardt,976.0,-2.4,4.0,0.0,0.8
5,370,2015-01-06,Erhardt,1033.0,-4.7,3.5,0.0,-0.6000000000000001
6,371,2015-01-07,Erhardt,1294.0,-5.7,2.4,1.1,-1.6500000000000001
7,372,2015-01-08,Erhardt,1558.0,-0.5,9.0,0.5,4.25
8,373,2015-01-09,Erhardt,1285.0,4.2,9.8,3.5,7.0
9,374,2015-01-10,Erhardt,1004.0,9.6,15.8,4.3,12.7
10,375,2015-01-11,Erhardt,439.0,0.3,11.6,5.1,5.95
11,376,2015-01-12,Erhardt,2084.0,-2.9,5.1,0.0,1.0999999999999999
12,377,2015-01-13,Erhardt,2779.0,-4.6,14.2,0.0,4.8
13,378,2015-01-14,Erhardt,1988.0,-1.2,9.4,1.1,4.1000000000000005
14,379,2015-01-15,Erhardt,2362.0,-2.7,7.5,0.0,2.4
15,380,2015-01-16,Erhardt,2283.0,-4.1,5.0,0.9,0.4500000000000002
16,381,2015-01-17,Erhardt,499.0,-0.1,3.3,6.6,1.5999999999999999
17,382,2015-01-18,Erhardt,703.0,0.1,2.4,0.0,1.25
18,383,2015-01-19,Erhardt,2338.0,-3.3,3.5,0.0,0.10000000000000009
19,384,2015-01-20,Erhardt,2187.0,-2.8,1.5,0.0,-0.6499999999999999
20,385,2015-01-21,Erhardt,2177.0,-0.5,0.6,0.0,0.04999999999999999
21,386,2015-01-22,Erhardt,2133.0,-0.1,1.6,0.1,0.75
22,387,2015-01-23,Erhardt,1525.0,-0.4,1.4,0.1,0.49999999999999994
23,388,2015-01-24,Erhardt,751.0,-0.8,0.9,0.8,0.04999999999999999
24,389,2015-01-25,Erhardt,495.0,-1.0,1.1,1.1,0.050000000000000044
25,390,2015-01-26,Erhardt,1498.0,-2.8,1.8,2.7,-0.4999999999999999
26,391,2015-01-27,Erhardt,1283.0,0.0,2.2,1.0,1.1
27,392,2015-01-28,Erhardt,1233.0,-2.1,2.3,2.1,0.09999999999999987
28,393,2015-01-29,Erhardt,1530.0,-0.4,3.8,2.3,1.7
29,394,2015-01-30,Erhardt,1256.0,-2.7,2.4,0.6,-0.15000000000000013
30,395,2015-01-31,Erhardt,762.0,-3.4,2.9,0.0,-0.25
31,396,2015-02-01,Erhardt,735.0,-4.3,2.7,1.5,-0.7999999999999998
32,397,2015-02-02,Erhardt,961.0,-4.9,1.5,0.2,-1.7000000000000002
33,398,2015-02-03,Erhardt,1068.0,-13.3,-0.9,0.0,-7.1000000000000005
34,399,2015-02-04,Erhardt,1323.0,-13.4,-4.1,0.0,-8.75
35,400,2015-02-05,Erhardt,1271.0,-9.2,-0.6,0.0,-4.8999999999999995
36,401,2015-02-06,Erhardt,1061.0,-6.6,-1.2,0.0,-3.9
37,402,2015-02-07,Erhardt,582.0,-9.2,-2.1,0.1,-5.6499999999999995
38,403,2015-02-08,Erhardt,427.0,-6.9,0.3,1.2,-3.3000000000000003
39,404,2015-02-09,Erhardt,1077.0,-4.6,0.9,0.1,-1.8499999999999999
40,405,2015-02-10,Erhardt,1562.0,-5.4,4.6,0.0,-0.40000000000000036
41,406,2015-02-11,Erhardt,1619.0,-5.1,0.4,0.0,-2.3499999999999996
42,407,2015-02-12,Erhardt,1688.0,-2.6,-0.7,0.0,-1.65
43,408,2015-02-13,Erhardt,1608.0,-4.2,-1.5,0.0,-2.85
44,409,2015-02-14,Erhardt,827.0,-3.9,-1.6,0.0,-2.75
45,410,2015-02-15,Erhardt,585.0,-5.7,0.7,0.0,-2.5
46,411,2015-02-16,Erhardt,1551.0,-3.1,-0.3,0.0,-1.7
47,412,2015-02-17,Erhardt,1397.0,-3.1,-0.9,0.0,-2.0
48,413,2015-02-18,Erhardt,1487.0,-2.7,-0.8,0.0,-1.75
49,414,2015-02-19,Erhardt,1724.0,-5.7,0.8,0.0,-2.45
50,415,2015-02-20,Erhardt,2051.0,-8.9,8.9,0.0,0.0
51,416,2015-02-21,Erhardt,1000.0,-7.2,7.2,0.5,0.0
52,417,2015-02-22,Erhardt,500.0,-3.4,4.2,1.4,0.40000000000000013
53,418,2015-02-23,Erhardt,1765.0,-5.4,5.3,3.6,-0.050000000000000266
54,419,2015-02-24,Erhardt,1614.0,-0.5,5.7,0.5,2.6
55,420,2015-02-25,Erhardt,1959.0,-3.4,6.1,0.0,1.3499999999999999
56,421,2015-02-26,Erhardt,2391.0,-5.3,6.9,0.0,0.8000000000000003
57,422,2015-02-27,Erhardt,1915.0,-6.0,8.4,1.5,1.2000000000000002
58,423,2015-02-28,Erhardt,774.0,-3.0,3.9,0.0,0.44999999999999996
59,424,2015-03-01,Erhardt,626.0,-4.1,8.6,4.0,2.25
60,425,2015-03-02,Erhardt,1172.0,1.9,9.2,4.8,5.55
61,426,2015-03-03,Erhardt,2472.0,0.2,8.4,1.6,4.3
62,427,2015-03-04,Erhardt,2057.0,-0.4,6.1,0.1,2.8499999999999996
63,428,2015-03-05,Erhardt,1722.0,-2.1,5.2,0.2,1.55
64,429,2015-03-06,Erhardt,2022.0,-1.7,6.9,0.0,2.6
65,430,2015-03-07,Erhardt,1851.0,-4.2,9.4,0.0,2.6
66,431,2015-03-08,Erhardt,3104.0,-4.3,12.6,0.0,4.15
67,432,2015-03-09,Erhardt,3020.0,-3.5,12.9,0.0,4.7
68,433,2015-03-10,Erhardt,3407.0,-4.3,14.4,0.3,5.050000000000001
69,434,2015-03-11,Erhardt,2198.0,-2.6,8.4,0.2,2.9000000000000004
70,435,2015-03-12,Erhardt,2617.0,-2.1,8.7,0.0,3.3
71,436,2015-03-13,Erhardt,2059.0,-2.9,4.8,0.0,0.95
72,437,2015-03-14,Erhardt,1369.0,-4.8,5.8,0.0,0.5
73,438,2015-03-15,Erhardt,1828.0,-1.0,10.9,0.0,4.95
74,439,2015-03-16,Erhardt,2475.0,1.0,13.6,0.0,7.3
75,440,2015-03-17,Erhardt,3493.0,3.5,17.8,0.0,10.65
76,441,2015-03-18,Erhardt,3680.0,-1.0,15.0,0.0,7.0
77,442,2015-03-19,Erhardt,3902.0,-3.5,13.8,0.0,5.15
78,443,2015-03-20,Erhardt,3306.0,-4.9,13.3,0.0,4.2
79,444,2015-03-21,Erhardt,1666.0,1.2,14.5,11.0,7.85
80,445,2015-03-22,Erhardt,857.0,2.6,5.3,0.1,3.95
81,446,2015-03-23,Erhardt,2611.0,1.7,7.5,0.0,4.6
82,447,2015-03-24,Erhardt,3342.0,0.2,16.1,0.0,8.15
83,448,2015-03-25,Erhardt,3165.0,3.3,15.3,0.0,9.3
84,449,2015-03-26,Erhardt,2006.0,5.4,8.9,0.8,7.15
85,450,2015-03-27,Erhardt,1813.0,3.9,9.7,0.8,6.8
86,451,2015-03-28,Erhardt,2304.0,4.3,12.7,0.8,8.5
87,452,2015-03-29,Erhardt,803.0,7.0,13.2,14.9,10.1
88,453,2015-03-30,Erhardt,859.0,4.5,9.5,6.2,7.0
89,454,2015-03-31,Erhardt,983.0,2.5,15.7,11.9,9.1
90,455,2015-04-01,Erhardt,1166.0,-0.1,6.9,1.2,3.4000000000000004
91,456,2015-04-02,Erhardt,779.0,1.6,6.5,5.2,4.05
92,457,2015-04-03,Erhardt,1622.0,-0.1,10.6,1.8,5.25
93,458,2015-04-04,Erhardt,329.0,1.9,6.5,5.7,4.2
94,459,2015-04-05,Erhardt,933.0,-0.1,7.4,0.1,3.6500000000000004
95,460,2015-04-06,Erhardt,518.0,-0.4,5.7,1.6,2.65
96,461,2015-04-07,Erhardt,2059.0,-1.5,9.1,0.0,3.8
97,462,2015-04-08,Erhardt,3071.0,1.6,14.0,0.0,7.8
98,463,2015-04-09,Erhardt,4084.0,2.4,19.0,0.0,10.7
99,464,2015-04-10,Erhardt,4680.0,5.9,22.5,0.0,14.2
100,465,2015-04-11,Erhardt,2907.0,10.7,18.5,0.0,14.6
101,466,2015-04-12,Erhardt,4832.0,10.0,19.2,0.0,14.6
102,467,2015-04-13,Erhardt,4463.0,8.7,18.9,0.0,13.799999999999999
103,468,2015-04-14,Erhardt,4986.0,8.6,19.3,0.0,13.95
104,469,2015-04-15,Erhardt,6352.0,10.6,23.9,0.0,17.25
105,470,2015-04-16,Erhardt,5980.0,12.2,23.2,1.2,17.7
106,471,2015-04-17,Erhardt,2092.0,6.2,16.8,15.8,11.5
107,472,2015-04-18,Erhardt,2445.0,3.0,11.1,0.0,7.05
108,473,2015-04-19,Erhardt,4354.0,2.1,14.4,0.0,8.25
109,474,2015-04-20,Erhardt,5015.0,2.3,16.8,0.0,9.55
110,475,2015-04-21,Erhardt,6017.0,5.0,19.9,0.0,12.45
111,476,2015-04-22,Erhardt,6589.0,5.4,20.7,0.0,13.05
112,477,2015-04-23,Erhardt,4654.0,2.7,12.7,0.1,7.699999999999999
113,478,2015-04-24,Erhardt,5395.0,2.4,19.3,0.0,10.85
114,479,2015-04-25,Erhardt,4457.0,7.3,20.7,3.7,14.0
115,480,2015-04-26,Erhardt,5792.0,11.0,20.5,0.0,15.75
116,481,2015-04-27,Erhardt,5650.0,9.2,23.4,6.7,16.299999999999997
117,482,2015-04-28,Erhardt,1847.0,5.3,13.5,7.0,9.4
118,483,2015-04-29,Erhardt,5450.0,3.6,15.3,0.5,9.450000000000001
119,484,2015-04-30,Erhardt,2829.0,7.1,16.0,11.5,11.55
120,485,2015-05-01,Erhardt,488.0,8.1,11.1,33.5,9.6
121,486,2015-05-02,Erhardt,2049.0,7.8,13.9,9.0,10.85
122,487,2015-05-03,Erhardt,719.0,10.7,16.9,10.1,13.799999999999999
123,488,2015-05-04,Erhardt,3663.0,14.0,21.1,0.0,17.55
124,489,2015-05-05,Erhardt,5951.0,14.3,26.8,4.1,20.55
125,490,2015-05-06,Erhardt,2581.0,10.9,15.0,10.3,12.95
126,491,2015-05-07,Erhardt,5695.0,10.3,19.1,0.0,14.700000000000001
127,492,2015-05-08,Erhardt,6196.0,9.4,23.2,0.5,16.3
128,493,2015-05-09,Erhardt,2509.0,11.8,18.6,4.7,15.200000000000001
129,494,2015-05-10,Erhardt,4255.0,10.0,20.3,0.0,15.15
130,495,2015-05-11,Erhardt,6593.0,8.0,23.6,0.0,15.8
131,496,2015-05-12,Erhardt,6997.0,10.1,28.5,0.0,19.3
132,497,2015-05-13,Erhardt,4838.0,15.2,22.8,1.4,19.0
133,498,2015-05-14,Erhardt,3116.0,11.8,17.7,1.5,14.75
134,499,2015-05-15,Erhardt,1729.0,10.7,14.5,3.8,12.6
135,500,2015-05-16,Erhardt,5224.0,8.5,20.0,0.7,14.25
136,501,2015-05-17,Erhardt,2806.0,10.2,18.8,1.3,14.5
137,502,2015-05-18,Erhardt,6891.0,9.3,24.4,1.6,16.85
138,503,2015-05-19,Erhardt,2677.0,10.1,18.4,23.2,14.25
139,504,2015-05-20,Erhardt,1352.0,6.4,10.2,11.8,8.3
140,505,2015-05-21,Erhardt,2435.0,7.0,12.0,1.8,9.5
141,506,2015-05-22,Erhardt,3175.0,6.6,15.6,0.0,11.1
142,507,2015-05-23,Erhardt,1763.0,8.6,15.4,7.1,12.0
143,508,2015-05-24,Erhardt,1926.0,8.5,15.3,0.2,11.9
144,509,2015-05-25,Erhardt,3041.0,10.8,19.6,7.2,15.200000000000001
145,510,2015-05-26,Erhardt,2073.0,9.0,15.9,0.5,12.45
146,511,2015-05-27,Erhardt,3685.0,5.7,14.9,0.0,10.3
147,512,2015-05-28,Erhardt,5622.0,5.7,21.4,0.0,13.549999999999999
148,513,2015-05-29,Erhardt,5176.0,11.0,24.2,1.2,17.6
149,514,2015-05-30,Erhardt,3622.0,13.2,20.1,0.0,16.65
150,515,2015-05-31,Erhardt,5005.0,10.4,22.2,0.0,16.3
151,516,2015-06-01,Erhardt,4751.0,14.6,26.5,3.5,20.55
152,517,2015-06-02,Erhardt,6244.0,14.4,26.1,0.0,20.25
153,518,2015-06-03,Erhardt,7076.0,17.0,28.9,0.0,22.95
154,519,2015-06-04,Erhardt,7736.0,14.3,28.1,0.0,21.200000000000003
155,520,2015-06-05,Erhardt,6716.0,15.4,29.3,0.0,22.35
156,521,2015-06-06,Erhardt,4835.0,16.4,30.9,7.2,23.65
157,522,2015-06-07,Erhardt,5643.0,16.5,28.1,26.0,22.3
158,523,2015-06-08,Erhardt,2359.0,12.6,21.1,15.9,16.85
159,524,2015-06-09,Erhardt,3784.0,11.4,15.0,0.1,13.2
160,525,2015-06-10,Erhardt,5094.0,11.6,19.4,0.6,15.5
161,526,2015-06-11,Erhardt,6211.0,14.6,23.1,0.0,18.85
162,527,2015-06-12,Erhardt,8938.0,14.1,29.9,0.0,22.0
163,528,2015-06-13,Erhardt,5407.0,16.1,26.3,3.1,21.200000000000003
164,529,2015-06-14,Erhardt,4638.0,16.3,25.1,28.0,20.700000000000003
165,530,2015-06-15,Erhardt,1646.0,14.5,17.2,14.8,15.85
