Categoría: Todas las categorías

Mes,fahrrad: (Alemania)
2008-01,11
2008-02,29
2008-03,33
2008-04,42
2008-05,58
2008-06,41
2008-07,33
2008-08,48
2008-09,31
2008-10,27
2008-11,25
2008-12,16
2009-01,18
2009-02,17
2009-03,27
2009-04,51
2009-05,42
2009-06,35
2009-07,23
2009-08,29
2009-09,23
2009-10,16
2009-11,15
2009-12,9
2010-01,12
2010-02,12
2010-03,28
2010-04,33
2010-05,32
2010-06,37
2010-07,31
2010-08,40
2010-09,26
2010-10,18
2010-11,17
2010-12,13
2011-01,15
2011-02,24
2011-03,31
2011-04,39
2011-05,43
2011-06,39
2011-07,41
2011-08,37
2011-09,32
2011-10,23
2011-11,18
2011-12,16
2012-01,17
2012-02,20
2012-03,51
2012-04,43
2012-05,47
2012-06,42
2012-07,40
2012-08,39
2012-09,33
2012-10,22
2012-11,19
2012-12,15
2013-01,15
2013-02,20
2013-03,38
2013-04,44
2013-05,46
2013-06,54
2013-07,51
2013-08,60
2013-09,42
2013-10,24
2013-11,20
2013-12,21
2014-01,23
2014-02,29
2014-03,52
2014-04,56
2014-05,46
2014-06,59
2014-07,50
2014-08,47
2014-09,36
2014-10,31
2014-11,25
2014-12,18
2015-01,23
2015-02,30
2015-03,42
2015-04,56
2015-05,61
2015-06,59
2015-07,52
2015-08,51
2015-09,39
2015-10,30
2015-11,29
2015-12,24
2016-01,25
2016-02,35
2016-03,45
2016-04,64
2016-05,69
2016-06,52
2016-07,65
2016-08,60
2016-09,56
2016-10,34
2016-11,25
2016-12,22
2017-01,23
2017-02,33
2017-03,63
2017-04,68
2017-05,66
2017-06,71
2017-07,60
2017-08,63
2017-09,45
2017-10,39
2017-11,31
2017-12,22
2018-01,30
2018-02,34
2018-03,45
2018-04,71
2018-05,71
2018-06,69
2018-07,68
2018-08,61
2018-09,51
2018-10,39
2018-11,34
2018-12,23
2019-01,25
2019-02,41
2019-03,53
2019-04,68
2019-05,61
2019-06,64
2019-07,63
2019-08,61
2019-09,56
2019-10,39
2019-11,33
2019-12,26
2020-01,31
2020-02,35
2020-03,52
2020-04,100
2020-05,93
2020-06,86
2020-07,79
2020-08,69
2020-09,62
2020-10,42
2020-11,35
2020-12,31
2021-01,32
2021-02,53
2021-03,60
2021-04,65
2021-05,69
2021-06,69
2021-07,62
2021-08,55
2021-09,48
2021-10,33
2021-11,27
2021-12,21
2022-01,29
2022-02,35
2022-03,67
2022-04,56
2022-05,59
2022-06,60
2022-07,54
2022-08,60
2022-09,48
2022-10,38
2022-11,31
2022-12,23
2023-01,29
2023-02,35
2023-03,48
2023-04,53
2023-05,65
2023-06,68
2023-07,64
2023-08,54
2023-09,53
2023-10,35
2023-11,27
2023-12,20
2024-01,25
2024-02,32
2024-03,43
