Categoría: Todas las categorías

Mes,fahrrad: (Alemania)
2004-01,15
2004-02,19
2004-03,30
2004-04,39
2004-05,41
2004-06,37
2004-07,38
2004-08,39
2004-09,29
2004-10,17
2004-11,15
2004-12,15
2005-01,16
2005-02,17
2005-03,28
2005-04,39
2005-05,37
2005-06,33
2005-07,39
2005-08,34
2005-09,27
2005-10,21
2005-11,14
2005-12,13
2006-01,14
2006-02,15
2006-03,22
2006-04,30
2006-05,34
2006-06,29
2006-07,35
2006-08,27
2006-09,23
2006-10,18
2006-11,14
2006-12,13
2007-01,13
2007-02,15
2007-03,28
2007-04,41
2007-05,35
2007-06,31
2007-07,31
2007-08,30
2007-09,20
2007-10,16
2007-11,12
2007-12,12
2008-01,13
2008-02,19
2008-03,23
2008-04,28
2008-05,38
2008-06,32
2008-07,34
2008-08,31
2008-09,22
2008-10,15
2008-11,12
2008-12,10
2009-01,11
2009-02,13
2009-03,23
2009-04,38
2009-05,33
2009-06,31
2009-07,30
2009-08,33
2009-09,24
2009-10,15
2009-11,13
2009-12,11
2010-01,10
2010-02,13
2010-03,26
2010-04,34
2010-05,31
2010-06,30
2010-07,32
2010-08,29
2010-09,20
2010-10,15
2010-11,13
2010-12,9
2011-01,16
2011-02,19
2011-03,32
2011-04,47
2011-05,44
2011-06,42
2011-07,38
2011-08,39
2011-09,32
2011-10,23
2011-11,18
2011-12,16
2012-01,19
2012-02,19
2012-03,45
2012-04,39
2012-05,46
2012-06,41
2012-07,40
2012-08,45
2012-09,32
2012-10,23
2012-11,18
2012-12,15
2013-01,18
2013-02,19
2013-03,32
2013-04,44
2013-05,45
2013-06,42
2013-07,48
2013-08,46
2013-09,31
2013-10,24
2013-11,19
2013-12,17
2014-01,21
2014-02,26
2014-03,45
2014-04,49
2014-05,48
2014-06,49
2014-07,46
2014-08,48
2014-09,37
2014-10,30
2014-11,24
2014-12,18
2015-01,21
2015-02,25
2015-03,43
2015-04,52
2015-05,52
2015-06,55
2015-07,49
2015-08,51
2015-09,34
2015-10,27
2015-11,23
2015-12,22
2016-01,22
2016-02,28
2016-03,39
2016-04,54
2016-05,58
2016-06,46
2016-07,51
2016-08,53
2016-09,47
2016-10,29
2016-11,22
2016-12,21
2017-01,21
2017-02,29
2017-03,49
2017-04,56
2017-05,57
2017-06,56
2017-07,55
2017-08,53
2017-09,37
2017-10,33
2017-11,24
2017-12,21
2018-01,26
2018-02,28
2018-03,43
2018-04,68
2018-05,64
2018-06,59
2018-07,63
2018-08,56
2018-09,47
2018-10,36
2018-11,28
2018-12,22
2019-01,25
2019-02,39
2019-03,48
2019-04,64
2019-05,58
2019-06,62
2019-07,63
2019-08,64
2019-09,47
2019-10,37
2019-11,31
2019-12,25
2020-01,30
2020-02,31
2020-03,42
2020-04,100
2020-05,96
2020-06,91
2020-07,83
2020-08,70
2020-09,63
2020-10,39
2020-11,40
2020-12,30
2021-01,30
2021-02,47
2021-03,65
2021-04,66
2021-05,72
2021-06,70
2021-07,65
2021-08,61
2021-09,52
2021-10,39
2021-11,31
2021-12,25
2022-01,33
2022-02,38
2022-03,66
2022-04,63
2022-05,70
2022-06,64
2022-07,66
2022-08,66
2022-09,50
2022-10,39
2022-11,33
2022-12,26
2023-01,32
2023-02,38
2023-03,48
2023-04,57
2023-05,69
2023-06,68
2023-07,67
2023-08,64
2023-09,58
2023-10,40
2023-11,30
2023-12,23
2024-01,28
2024-02,39
2024-03,46
