Mes,fahrrad,Bike
2011-01,20,11
2011-02,0,24
2011-03,25,37
2011-04,42,42
2011-05,25,28
2011-06,25,33
2011-07,39,22
2011-08,27,25
2011-09,25,27
2011-10,0,25
2011-11,15,12
2011-12,19,15
2012-01,17,22
2012-02,24,10
2012-03,55,35
2012-04,36,32
2012-05,38,37
2012-06,49,34
2012-07,38,26
2012-08,42,29
2012-09,22,29
2012-10,19,25
2012-11,17,9
2012-12,10,12
2013-01,10,8
2013-02,11,0
2013-03,39,22
2013-04,59,26
2013-05,46,51
2013-06,58,33
2013-07,48,44
2013-08,52,40
2013-09,37,29
2013-10,21,22
2013-11,13,17
2013-12,18,23
2014-01,12,0
2014-02,24,26
2014-03,61,30
2014-04,46,36
2014-05,34,26
2014-06,57,35
2014-07,38,25
2014-08,36,36
2014-09,36,36
2014-10,25,24
2014-11,32,20
2014-12,16,8
2015-01,22,17
2015-02,25,14
2015-03,56,36
2015-04,66,42
2015-05,54,30
2015-06,53,36
2015-07,60,28
2015-08,52,36
2015-09,29,28
2015-10,24,26
2015-11,31,21
2015-12,24,14
2016-01,24,19
2016-02,30,21
2016-03,42,25
2016-04,60,46
2016-05,68,45
2016-06,48,38
2016-07,60,42
2016-08,57,30
2016-09,53,46
2016-10,33,26
2016-11,19,16
2016-12,16,17
2017-01,24,20
2017-02,34,26
2017-03,58,32
2017-04,71,50
2017-05,64,45
2017-06,61,43
2017-07,57,53
2017-08,68,51
2017-09,38,41
2017-10,37,35
2017-11,19,26
2017-12,22,19
2018-01,25,27
2018-02,28,26
2018-03,48,30
2018-04,67,49
2018-05,73,57
2018-06,67,55
2018-07,56,51
2018-08,53,58
2018-09,47,42
2018-10,35,42
2018-11,22,27
2018-12,19,22
2019-01,24,25
2019-02,38,34
2019-03,51,44
2019-04,63,65
2019-05,49,56
2019-06,57,56
2019-07,60,55
2019-08,60,54
2019-09,50,51
2019-10,34,50
2019-11,22,27
2019-12,19,17
2020-01,27,31
2020-02,34,39
2020-03,53,43
2020-04,100,88
2020-05,90,91
2020-06,80,78
2020-07,85,91
2020-08,58,63
2020-09,54,55
2020-10,33,37
2020-11,30,32
2020-12,22,23
2021-01,25,35
2021-02,56,47
2021-03,54,55
2021-04,66,69
2021-05,53,70
2021-06,64,65
2021-07,56,57
2021-08,48,49
2021-09,51,46
2021-10,27,33
2021-11,25,22
2021-12,21,21
2022-01,19,22
2022-02,34,33
2022-03,56,54
2022-04,50,54
2022-05,51,58
2022-06,46,55
2022-07,53,53
2022-08,47,49
2022-09,33,34
2022-10,30,30
2022-11,24,25
2022-12,21,18
2023-01,23,23
2023-02,30,28
2023-03,48,40
2023-04,46,40
2023-05,60,59
2023-06,62,59
2023-07,52,54
2023-08,46,48
2023-09,40,37
2023-10,30,27
2023-11,22,19
2023-12,17,11
