iter	RMSE
0	2195.769656
1	2120.722296
2	2051.557174
3	1985.411522
4	1924.7581
5	1864.276672
6	1811.589319
7	1759.387279
8	1714.114091
9	1669.699737
10	1623.840161
11	1584.383792
12	1546.547166
13	1513.750923
14	1480.007702
15	1449.427521
16	1419.371412
17	1395.975785
18	1372.54205
19	1351.200412
20	1328.995075
21	1307.55105
22	1288.023159
23	1270.814148
24	1254.687484
25	1238.959124
26	1225.23679
27	1212.052318
28	1199.958856
29	1188.576486
30	1177.206274
31	1167.482832
32	1158.363359
33	1151.158012
34	1142.890332
35	1134.800084
36	1126.959559
37	1120.435905
38	1114.06756
39	1108.621474
40	1102.847635
41	1098.048376
42	1093.100302
43	1088.386499
44	1083.363215
45	1079.500767
46	1075.993252
47	1072.689187
48	1068.735276
49	1065.536989
50	1062.878982
51	1060.312924
52	1057.973293
53	1055.272786
54	1052.693222
55	1050.245596
56	1047.570306
57	1045.50099
58	1043.630972
59	1041.609532
60	1039.699398
61	1037.748098
62	1036.061732
63	1034.549146
64	1033.361208
65	1032.520168
66	1030.641961
67	1029.209145
68	1027.594883
69	1026.723679
70	1025.622687
71	1024.235205
72	1023.214914
73	1022.387222
74	1021.352476
75	1020.431673
76	1019.278736
77	1018.342101
78	1017.701058
79	1016.713117
80	1015.711173
81	1014.913037
82	1014.183713
83	1013.378734
84	1012.499169
85	1012.115596
86	1011.578253
87	1010.952691
88	1010.191975
89	1009.375454
90	1008.866313
91	1008.155774
92	1007.452221
93	1006.809843
94	1006.083426
95	1004.942573
96	1004.689538
97	1004.20603
98	1003.42411
99	1003.115947
100	1002.736152
101	1002.363445
102	1001.722528
103	1001.308558
104	1000.677967
105	1000.264141
106	999.6707244
107	999.1400966
108	998.8071639
109	998.5381336
110	998.0427459
111	997.5374064
112	997.2314851
113	996.6744546
114	996.5405052
115	996.2874156
116	996.0056971
117	995.5508681
118	995.2264341
119	994.6763411
120	994.1246067
121	993.690564
122	993.3197494
123	992.980435
124	992.2525993
125	991.6218195
126	991.3544405
127	990.9679665
128	990.5373784
129	989.4390192
130	989.038563
131	988.7613515
132	988.1941294
133	987.8184562
134	987.2132378
135	986.9124808
136	985.9784229
137	985.620309
138	985.3171618
139	984.8924225
140	984.6489534
141	984.2206056
142	983.8967833
143	983.5517726
144	983.3068407
145	982.9655386
146	982.3959802
147	982.0623658
148	981.6176838
149	981.2920328
150	980.997123
151	980.5433225
152	980.137365
153	979.9183765
154	979.4832177
155	979.1312488
156	978.7423645
157	978.4009159
158	977.7209634
159	977.0003851
160	976.7140846
161	976.4592487
162	976.0096657
163	975.4592507
164	975.2976545
165	974.94691
166	974.7129031
167	974.4008862
168	973.9564271
169	973.64196
170	973.4986521
171	972.7626838
172	972.2922995
173	971.9015135
174	971.5917997
175	971.0335623
176	970.7201557
177	970.2871013
178	970.0952029
179	969.824392
180	969.3867515
181	968.9645001
182	968.5526452
183	968.2340932
184	967.8704961
185	967.6226414
186	967.1618101
187	966.9495315
188	966.5926634
189	966.0833528
190	965.7368485
191	965.329111
192	965.0791521
193	964.5895377
194	964.3335651
195	964.1838336
196	963.8602426
197	963.443846
198	963.1107998
199	962.7500931
200	962.5117598
201	962.1836173
202	961.9080123
203	961.2026891
204	960.8129176
205	960.2521606
206	959.7993637
207	959.517261
208	959.304382
209	959.1166506
210	958.9150542
211	958.6579495
212	958.4918812
213	958.3002126
214	958.1301679
215	957.8469897
216	957.6886179
217	957.3410745
218	957.1372929
219	956.9744206
220	956.9092704
221	956.6744574
222	956.2120367
223	955.7343652
224	955.3141941
225	954.9506931
226	954.6002945
227	954.1692607
228	953.7558611
229	953.4449879
230	953.0698106
231	952.7275593
232	952.2414353
233	951.8955612
234	951.4506844
235	951.2011282
236	951.0580808
237	950.6490097
238	950.316666
239	950.1017278
240	949.8918707
241	949.6709697
242	949.2165697
243	948.8349302
244	948.0567093
245	947.4093481
246	946.9315976
247	946.5977171
248	946.4558268
249	946.0616514
250	945.670409
251	945.4637914
252	945.0831327
253	944.8024621
254	944.4453305
255	944.4045611
256	944.3691954
257	944.139845
258	943.878026
259	943.6427174
260	943.364466
261	943.0723239
262	942.5096325
263	942.283581
264	942.1143059
265	941.6493921
266	941.3320063
267	941.1350368
268	940.9060505
269	940.5306825
270	940.3720854
271	940.139141
272	939.8334746
273	939.5062479
274	939.3380787
275	939.148748
276	938.6437873
277	938.4554229
278	938.0761638
279	937.9012856
280	937.8123365
281	937.4732381
282	937.0817658
283	936.7743342
284	936.5967011
285	936.4595304
286	935.9958612
287	935.8378688
288	935.4140232
289	934.8315671
290	934.4726187
291	934.293984
292	933.8191404
293	933.7723642
294	933.617247
295	933.2769208
296	933.1517024
297	932.8436802
298	932.5236845
299	932.341103
300	931.9151475
301	931.6136382
302	931.5806369
303	930.769768
304	930.0232066
305	929.9629526
306	929.6381407
307	929.5789106
308	928.9716339
309	928.8375894
310	928.5559861
311	928.1491789
312	927.9107913
313	927.4684056
314	927.0922593
315	926.8659093
316	926.5937194
317	926.4241717
318	926.0879679
319	925.6540591
320	925.6124654
321	925.432623
322	925.1363024
323	925.0988552
324	924.8486594
325	924.4969674
326	924.3944768
327	924.2320042
328	923.814977
329	923.6734718
330	923.4999563
331	923.3103523
332	922.9715703
333	922.9379531
334	922.7254352
335	922.4790884
336	922.1925344
337	921.8994993
338	921.5504218
339	921.5290117
340	921.129188
341	920.9596983
342	920.5322328
343	920.3608769
344	920.1308232
345	920.0730823
346	919.5725625
347	919.3414394
348	918.9574808
349	918.638625
350	918.3659975
351	918.2148081
352	917.887385
353	917.6346741
354	917.5378297
355	917.3190507
356	916.9939967
357	916.8441981
358	916.5091156
359	916.3445746
360	916.1323004
361	915.8734262
362	915.6581673
363	915.4272606
364	915.2128263
365	914.8029254
366	914.4860959
367	914.3387425
368	914.2939852
369	914.2678558
370	913.8813928
371	913.6221735
372	913.1861
373	913.1258709
374	912.8927799
375	912.6176134
376	912.2892026
377	911.9379576
378	911.815583
379	911.5306737
380	911.367688
381	911.1255577
382	910.9811282
383	910.8115102
384	910.4996322
385	910.2352403
386	910.0485866
387	909.7903853
388	909.7484907
389	909.4269434
390	909.1258248
391	908.9722712
392	908.5173874
393	908.3380188
394	908.2061036
395	907.8544006
396	907.7369395
397	907.3597724
398	907.1300458
399	906.8764987
400	906.6708658
401	906.3986926
402	906.2589946
403	905.8097318
404	905.7708408
405	905.485521
406	905.029404
407	904.7544713
408	904.4271962
409	904.0611124
410	903.8110077
411	903.5758222
412	903.5620581
413	903.4925762
414	903.3779375
415	903.1224146
416	903.083435
417	903.0386566
418	902.6917283
419	902.3530595
420	902.0613581
421	901.9490348
422	901.7592349
423	901.6854622
424	901.5124979
425	901.2439061
426	901.030808
427	900.8335648
428	900.6551717
429	900.4551243
430	899.8721245
431	899.5784556
432	899.2752894
433	898.9848086
434	898.5953954
435	898.4579138
436	898.1742732
437	897.957335
438	897.6920021
439	897.3329095
440	896.7516571
441	896.5299417
442	896.1992905
443	895.688959
444	895.5763299
445	895.2949797
446	895.1720483
447	894.9096094
448	894.7222654
449	894.274478
450	894.2467057
451	894.2176169
452	893.8191402
453	893.7565242
454	893.7172306
455	893.4230823
456	893.1397778
457	893.0378176
458	892.7450958
459	892.4592812
460	892.3525884
461	891.9738249
462	891.6575719
463	891.2854098
464	891.267375
465	891.1105795
466	890.8160757
467	890.698895
468	890.5306201
469	890.3099851
470	889.9097546
471	889.6226687
472	889.2928677
473	888.9403124
474	888.6981656
475	888.4519863
476	888.3187192
477	888.1193795
478	887.9117159
479	887.7163608
480	887.6842397
481	887.670113
482	887.344157
483	887.1058268
484	887.0876376
485	886.8092611
486	886.6733058
487	886.416246
488	886.253747
489	886.0002023
490	885.8674504
491	885.717711
492	885.4090822
493	885.1947954
494	885.1813983
495	884.8879595
496	884.540731
497	884.1503329
498	883.8861047
499	883.6682364
500	883.5368185
501	883.336373
502	883.0279586
503	882.7066824
504	882.4757734
505	882.2963578
506	882.0719463
507	882.0546603
508	881.6959906
509	881.3404883
510	881.1169468
511	880.8148189
512	880.6974618
513	880.492212
514	880.3005281
515	880.1985954
516	879.9461493
517	879.558493
518	879.3860651
519	879.0868682
520	878.7951619
521	878.6139784
522	878.497063
523	878.3872615
524	878.1420949
525	877.9008289
526	877.7580407
527	877.5319817
528	877.2310131
529	876.8223293
530	876.7216526
531	876.5011448
532	876.249891
533	876.0851827
534	875.8945525
535	875.7248751
536	875.4740791
537	875.2921443
538	874.8906255
539	874.7842555
540	874.7095731
541	874.4767636
542	874.1115648
543	873.9955761
544	873.6677433
545	873.5205048
546	873.4552473
547	873.2670905
548	873.0957263
549	872.7479345
550	872.6715774
551	872.5109172
552	872.2152894
553	871.9976164
554	871.9302998
555	871.7742871
556	871.7142877
557	871.4681936
558	871.187688
559	870.7920074
560	870.7590736
561	870.4040864
562	870.1810882
563	869.8790957
564	869.8011234
565	869.6074233
566	869.5394642
567	869.2093628
568	868.9419921
569	868.9298017
570	868.7671553
571	868.6691724
572	868.3779905
573	868.2364576
574	867.9960948
575	867.7806118
576	867.4989639
577	867.3924933
578	867.3432464
579	867.0383256
580	866.814762
581	866.7044566
582	866.573134
583	866.3814277
584	866.1542821
585	865.9951512
586	865.8515832
587	865.5908941
588	865.5064026
589	865.2422293
590	864.93612
591	864.8064908
592	864.6900466
593	864.5980935
594	864.4653962
595	864.1547618
596	863.8609597
597	863.7379047
598	863.597963
599	863.3630814
600	863.175426
601	862.9979841
602	862.8966875
603	862.7018477
604	862.4360954
605	862.2077808
606	861.9230291
607	861.6487568
608	861.5843821
609	861.4025933
610	861.1093046
611	860.8564835
612	860.510141
613	860.3393642
614	860.272274
615	860.1963688
616	859.9834977
617	859.7315814
618	859.6677797
