datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2024.01.01,00:00,23.59,Erhardt,493,461,954,3.3,7.1,0.0,76,5.2
2024.01.02,00:00,23.59,Erhardt,687,687,1374,3.0,11.1,1.0,94,0.0
2024.01.03,00:00,23.59,Erhardt,953,928,1881,7.1,13.0,1.6,74,3.8
2024.01.04,00:00,23.59,Erhardt,904,971,1875,4.3,9.1,0.0,91,1.5
2024.01.05,00:00,23.59,Erhardt,924,880,1804,2.2,8.6,12.7,95,0.0
2024.01.06,00:00,23.59,Erhardt,366,364,730,0.4,5.0,15.3,96,0.0
2024.01.07,00:00,23.59,Erhardt,182,206,388,-4.0,0.5,7.3,94,0.0
2024.01.08,00:00,23.59,Erhardt,527,568,1095,-5.7,-2.9,0.0,94,0.0
2024.01.09,00:00,23.59,Erhardt,508,537,1045,-7.9,-4.5,0.0,53,4.0
2024.01.10,00:00,23.59,Erhardt,493,535,1028,-6.8,-3.4,0.0,95,4.5
2024.01.11,00:00,23.59,Erhardt,512,546,1058,-7.1,-4.7,0.0,100,0.0
2024.01.12,00:00,23.59,Erhardt,593,585,1178,-5.8,-2.6,0.0,68,6.5
2024.01.13,00:00,23.59,Erhardt,294,330,624,-6.9,-3.7,0.0,99,0.0
2024.01.14,00:00,23.59,Erhardt,364,359,723,-5.4,1.0,0.0,85,6.9
2024.01.15,00:00,23.59,Erhardt,804,832,1636,-2.9,1.8,1.7,75,1.5
2024.01.16,00:00,23.59,Erhardt,726,770,1496,-5.3,0.6,1.7,81,2.0
2024.01.17,00:00,23.59,Erhardt,507,524,1031,-5.2,8.8,9.7,96,0.0
2024.01.18,00:00,23.59,Erhardt,891,865,1756,-1.8,11.3,3.6,95,1.0
2024.01.19,00:00,23.59,Erhardt,598,687,1285,-5.4,-0.3,0.0,59,2.4
2024.01.20,00:00,23.59,Erhardt,334,356,690,-8.6,1.5,0.0,8,8.8
2024.01.21,00:00,23.59,Erhardt,364,359,723,-7.9,4.8,0.0,56,7.3
2024.01.22,00:00,23.59,Erhardt,934,944,1878,-2.7,10.8,5.3,88,0.4
2024.01.23,00:00,23.59,Erhardt,1199,1143,2342,3.3,7.5,2.2,79,2.1
2024.01.24,00:00,23.59,Erhardt,1270,1200,2470,6.0,14.2,3.0,98,0.5
2024.01.25,00:00,23.59,Erhardt,1557,1541,3098,6.5,9.6,0.5,93,3.7
2024.01.26,00:00,23.59,Erhardt,1070,1075,2145,2.7,11.9,5.4,88,0.5
2024.01.27,00:00,23.59,Erhardt,1311,1229,2540,0.1,6.8,0.0,14,8.9
2024.01.28,00:00,23.59,Erhardt,1457,1259,2716,-1.8,10.3,0.0,9,9.1
2024.01.29,00:00,23.59,Erhardt,1680,1585,3265,-2.6,12.4,0.0,60,8.7
2024.01.30,00:00,23.59,Erhardt,2045,1941,3986,-1.5,14.1,0.0,88,7.8
2024.01.31,00:00,23.59,Erhardt,1986,1931,3917,2.8,11.7,0.0,68,5.4
