Date,Location,Total,MinTemp,MaxTemp,RainfallVolume,AvgTemp
2008-06-01,Arnulf,667.0,12.5,26.7,0.0,19.6
2008-06-01,Kreuther,,12.5,26.7,0.0,19.6
2008-06-01,Olympia,,12.5,26.7,0.0,19.6
2008-06-01,Hirsch,,12.5,26.7,0.0,19.6
2008-06-02,Arnulf,1117.0,15.0,27.9,0.6,21.45
2008-06-02,Kreuther,,15.0,27.9,0.6,21.45
2008-06-02,Hirsch,,15.0,27.9,0.6,21.45
2008-06-02,Olympia,,15.0,27.9,0.6,21.45
2008-06-03,Olympia,,14.6,21.9,0.2,18.25
2008-06-03,Kreuther,,14.6,21.9,0.2,18.25
2008-06-03,Hirsch,,14.6,21.9,0.2,18.25
2008-06-03,Arnulf,1279.0,14.6,21.9,0.2,18.25
2008-06-04,Kreuther,,14.8,21.9,5.1,18.35
2008-06-04,Hirsch,,14.8,21.9,5.1,18.35
2008-06-04,Arnulf,758.0,14.8,21.9,5.1,18.35
2008-06-04,Olympia,,14.8,21.9,5.1,18.35
2008-06-05,Kreuther,,14.0,20.4,14.2,17.2
2008-06-05,Olympia,,14.0,20.4,14.2,17.2
2008-06-05,Arnulf,606.0,14.0,20.4,14.2,17.2
2008-06-05,Hirsch,,14.0,20.4,14.2,17.2
2008-06-06,Olympia,,13.6,19.9,10.0,16.75
2008-06-06,Kreuther,,13.6,19.9,10.0,16.75
2008-06-06,Arnulf,963.0,13.6,19.9,10.0,16.75
2008-06-06,Hirsch,,13.6,19.9,10.0,16.75
2008-06-07,Arnulf,399.0,13.6,18.2,2.0,15.899999999999999
2008-06-07,Hirsch,,13.6,18.2,2.0,15.899999999999999
2008-06-07,Olympia,,13.6,18.2,2.0,15.899999999999999
2008-06-07,Kreuther,,13.6,18.2,2.0,15.899999999999999
2008-06-08,Olympia,,12.6,22.0,3.9,17.3
2008-06-08,Hirsch,,12.6,22.0,3.9,17.3
2008-06-08,Arnulf,557.0,12.6,22.0,3.9,17.3
2008-06-08,Kreuther,,12.6,22.0,3.9,17.3
2008-06-09,Hirsch,,9.5,23.0,0.0,16.25
2008-06-09,Olympia,,9.5,23.0,0.0,16.25
2008-06-09,Kreuther,,9.5,23.0,0.0,16.25
2008-06-09,Arnulf,1244.0,9.5,23.0,0.0,16.25
2008-06-10,Kreuther,,12.2,25.7,0.8,18.95
2008-06-10,Olympia,,12.2,25.7,0.8,18.95
2008-06-10,Hirsch,,12.2,25.7,0.8,18.95
2008-06-10,Arnulf,1350.0,12.2,25.7,0.8,18.95
2008-06-11,Hirsch,,13.1,21.9,4.5,17.5
2008-06-11,Kreuther,,13.1,21.9,4.5,17.5
2008-06-11,Olympia,,13.1,21.9,4.5,17.5
2008-06-11,Arnulf,798.0,13.1,21.9,4.5,17.5
2008-06-12,Hirsch,,11.5,19.3,10.5,15.4
2008-06-12,Kreuther,,11.5,19.3,10.5,15.4
2008-06-12,Olympia,,11.5,19.3,10.5,15.4
2008-06-12,Arnulf,1040.0,11.5,19.3,10.5,15.4
2008-06-13,Olympia,,6.6,15.5,0.3,11.05
2008-06-13,Arnulf,814.0,6.6,15.5,0.3,11.05
2008-06-13,Hirsch,,6.6,15.5,0.3,11.05
2008-06-13,Kreuther,,6.6,15.5,0.3,11.05
2008-06-14,Hirsch,,4.7,16.2,0.0,10.45
2008-06-14,Kreuther,,4.7,16.2,0.0,10.45
2008-06-14,Olympia,,4.7,16.2,0.0,10.45
2008-06-14,Arnulf,725.0,4.7,16.2,0.0,10.45
2008-06-15,Hirsch,,8.1,18.0,0.4,13.05
2008-06-15,Arnulf,745.0,8.1,18.0,0.4,13.05
2008-06-15,Olympia,,8.1,18.0,0.4,13.05
2008-06-15,Kreuther,,8.1,18.0,0.4,13.05
2008-06-16,Arnulf,605.0,10.6,16.5,2.4,13.55
2008-06-16,Olympia,,10.6,16.5,2.4,13.55
2008-06-16,Kreuther,,10.6,16.5,2.4,13.55
2008-06-16,Hirsch,,10.6,16.5,2.4,13.55
2008-06-17,Hirsch,,10.3,17.3,0.1,13.8
2008-06-17,Arnulf,655.0,10.3,17.3,0.1,13.8
2008-06-17,Kreuther,,10.3,17.3,0.1,13.8
2008-06-17,Olympia,,10.3,17.3,0.1,13.8
2008-06-18,Kreuther,,11.0,21.5,2.5,16.25
2008-06-18,Hirsch,,11.0,21.5,2.5,16.25
2008-06-18,Arnulf,803.0,11.0,21.5,2.5,16.25
2008-06-18,Olympia,,11.0,21.5,2.5,16.25
2008-06-19,Hirsch,,8.6,25.8,0.0,17.2
2008-06-19,Arnulf,1505.0,8.6,25.8,0.0,17.2
2008-06-19,Kreuther,,8.6,25.8,0.0,17.2
2008-06-19,Olympia,,8.6,25.8,0.0,17.2
2008-06-20,Arnulf,1215.0,15.0,25.0,0.0,20.0
2008-06-20,Kreuther,842.0,15.0,25.0,0.0,20.0
2008-06-20,Olympia,,15.0,25.0,0.0,20.0
2008-06-20,Hirsch,,15.0,25.0,0.0,20.0
2008-06-21,Kreuther,659.0,12.5,27.3,0.0,19.9
2008-06-21,Hirsch,,12.5,27.3,0.0,19.9
2008-06-21,Arnulf,1063.0,12.5,27.3,0.0,19.9
2008-06-21,Olympia,,12.5,27.3,0.0,19.9
2008-06-22,Arnulf,720.0,13.7,31.8,0.0,22.75
2008-06-22,Olympia,,13.7,31.8,0.0,22.75
2008-06-22,Kreuther,732.0,13.7,31.8,0.0,22.75
2008-06-22,Hirsch,,13.7,31.8,0.0,22.75
2008-06-23,Arnulf,1229.0,17.0,28.3,0.3,22.65
2008-06-23,Olympia,,17.0,28.3,0.3,22.65
2008-06-23,Kreuther,889.0,17.0,28.3,0.3,22.65
2008-06-23,Hirsch,,17.0,28.3,0.3,22.65
2008-06-24,Olympia,,16.3,25.9,1.9,21.1
2008-06-24,Kreuther,941.0,16.3,25.9,1.9,21.1
2008-06-24,Hirsch,,16.3,25.9,1.9,21.1
2008-06-24,Arnulf,1341.0,16.3,25.9,1.9,21.1
2008-06-25,Arnulf,1425.0,15.7,31.0,2.6,23.35
2008-06-25,Olympia,,15.7,31.0,2.6,23.35
2008-06-25,Hirsch,,15.7,31.0,2.6,23.35
2008-06-25,Kreuther,908.0,15.7,31.0,2.6,23.35
2008-06-26,Olympia,,16.6,23.8,0.0,20.200000000000003
2008-06-26,Kreuther,507.0,16.6,23.8,0.0,20.200000000000003
2008-06-26,Arnulf,969.0,16.6,23.8,0.0,20.200000000000003
2008-06-26,Hirsch,,16.6,23.8,0.0,20.200000000000003
2008-06-27,Olympia,,14.6,25.9,0.0,20.25
2008-06-27,Kreuther,828.0,14.6,25.9,0.0,20.25
2008-06-27,Hirsch,,14.6,25.9,0.0,20.25
2008-06-27,Arnulf,1290.0,14.6,25.9,0.0,20.25
2008-06-28,Olympia,,15.2,25.1,0.0,20.15
2008-06-28,Hirsch,,15.2,25.1,0.0,20.15
2008-06-28,Arnulf,1077.0,15.2,25.1,0.0,20.15
2008-06-28,Kreuther,709.0,15.2,25.1,0.0,20.15
2008-06-29,Olympia,,13.6,27.5,29.7,20.55
2008-06-29,Kreuther,742.0,13.6,27.5,29.7,20.55
2008-06-29,Hirsch,,13.6,27.5,29.7,20.55
2008-06-29,Arnulf,1045.0,13.6,27.5,29.7,20.55
2008-06-30,Olympia,,15.3,25.4,0.1,20.35
2008-06-30,Hirsch,,15.3,25.4,0.1,20.35
2008-06-30,Kreuther,539.0,15.3,25.4,0.1,20.35
2008-06-30,Arnulf,883.0,15.3,25.4,0.1,20.35
2008-07-01,Olympia,,13.3,26.8,0.0,20.05
2008-07-01,Hirsch,,13.3,26.8,0.0,20.05
2008-07-01,Arnulf,1438.0,13.3,26.8,0.0,20.05
2008-07-01,Kreuther,1125.0,13.3,26.8,0.0,20.05
2008-07-02,Hirsch,,14.6,28.5,0.0,21.55
2008-07-02,Olympia,,14.6,28.5,0.0,21.55
2008-07-02,Arnulf,1297.0,14.6,28.5,0.0,21.55
2008-07-02,Kreuther,988.0,14.6,28.5,0.0,21.55
2008-07-03,Kreuther,821.0,14.0,28.4,5.3,21.2
2008-07-03,Olympia,,14.0,28.4,5.3,21.2
2008-07-03,Hirsch,,14.0,28.4,5.3,21.2
2008-07-03,Arnulf,1146.0,14.0,28.4,5.3,21.2
2008-07-04,Kreuther,730.0,12.5,21.2,0.0,16.85
2008-07-04,Olympia,,12.5,21.2,0.0,16.85
2008-07-04,Hirsch,,12.5,21.2,0.0,16.85
2008-07-04,Arnulf,1145.0,12.5,21.2,0.0,16.85
2008-07-05,Olympia,,10.2,24.0,0.0,17.1
2008-07-05,Hirsch,,10.2,24.0,0.0,17.1
2008-07-05,Arnulf,1038.0,10.2,24.0,0.0,17.1
2008-07-05,Kreuther,715.0,10.2,24.0,0.0,17.1
2008-07-06,Arnulf,556.0,12.4,27.7,7.1,20.05
2008-07-06,Hirsch,,12.4,27.7,7.1,20.05
2008-07-06,Kreuther,583.0,12.4,27.7,7.1,20.05
2008-07-06,Olympia,,12.4,27.7,7.1,20.05
2008-07-07,Hirsch,,12.0,18.9,3.0,15.45
2008-07-07,Olympia,,12.0,18.9,3.0,15.45
2008-07-07,Kreuther,474.0,12.0,18.9,3.0,15.45
2008-07-07,Arnulf,498.0,12.0,18.9,3.0,15.45
2008-07-08,Arnulf,1053.0,10.8,21.0,1.3,15.9
2008-07-08,Olympia,,10.8,21.0,1.3,15.9
2008-07-08,Hirsch,,10.8,21.0,1.3,15.9
2008-07-08,Kreuther,796.0,10.8,21.0,1.3,15.9
