datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,kommentar
2020-01-01,00:00:00,00:15:00,Arnulf,0,1,1,NA
2020-01-01,00:15:00,00:30:00,Arnulf,0,2,2,NA
2020-01-01,00:30:00,00:45:00,Arnulf,0,0,0,NA
2020-01-01,00:45:00,01:00:00,Arnulf,0,0,0,NA
2020-01-01,01:00:00,01:15:00,Arnulf,2,0,2,NA
2020-01-01,01:15:00,01:30:00,Arnulf,0,1,1,NA
2020-01-01,01:30:00,01:45:00,Arnulf,1,1,2,NA
2020-01-01,01:45:00,02:00:00,Arnulf,0,0,0,NA
2020-01-01,02:00:00,02:15:00,Arnulf,0,0,0,NA
2020-01-01,02:15:00,02:30:00,Arnulf,1,0,1,NA
2020-01-01,02:30:00,02:45:00,Arnulf,6,0,6,NA
2020-01-01,02:45:00,03:00:00,Arnulf,2,0,2,NA
2020-01-01,03:00:00,03:15:00,Arnulf,1,0,1,NA
2020-01-01,03:15:00,03:30:00,Arnulf,3,0,3,NA
2020-01-01,03:30:00,03:45:00,Arnulf,1,0,1,NA
2020-01-01,03:45:00,04:00:00,Arnulf,1,1,2,NA
2020-01-01,04:00:00,04:15:00,Arnulf,0,0,0,NA
2020-01-01,04:15:00,04:30:00,Arnulf,0,0,0,NA
2020-01-01,04:30:00,04:45:00,Arnulf,0,0,0,NA
2020-01-01,04:45:00,05:00:00,Arnulf,2,0,2,NA
2020-01-01,05:00:00,05:15:00,Arnulf,0,0,0,NA
2020-01-01,05:15:00,05:30:00,Arnulf,1,0,1,NA
2020-01-01,05:30:00,05:45:00,Arnulf,3,0,3,NA
2020-01-01,05:45:00,06:00:00,Arnulf,2,1,3,NA
2020-01-01,06:00:00,06:15:00,Arnulf,1,0,1,NA
2020-01-01,06:15:00,06:30:00,Arnulf,1,1,2,NA
2020-01-01,06:30:00,06:45:00,Arnulf,1,0,1,NA
2020-01-01,06:45:00,07:00:00,Arnulf,1,0,1,NA
2020-01-01,07:00:00,07:15:00,Arnulf,2,0,2,NA
2020-01-01,07:15:00,07:30:00,Arnulf,0,1,1,NA
2020-01-01,07:30:00,07:45:00,Arnulf,0,0,0,NA
2020-01-01,07:45:00,08:00:00,Arnulf,0,0,0,NA
2020-01-01,08:00:00,08:15:00,Arnulf,0,1,1,NA
2020-01-01,08:15:00,08:30:00,Arnulf,1,0,1,NA
2020-01-01,08:30:00,08:45:00,Arnulf,1,0,1,NA
2020-01-01,08:45:00,09:00:00,Arnulf,0,0,0,NA
2020-01-01,09:00:00,09:15:00,Arnulf,2,0,2,NA
2020-01-01,09:15:00,09:30:00,Arnulf,3,0,3,NA
2020-01-01,09:30:00,09:45:00,Arnulf,1,0,1,NA
2020-01-01,09:45:00,10:00:00,Arnulf,3,1,4,NA
2020-01-01,10:00:00,10:15:00,Arnulf,1,0,1,NA
2020-01-01,10:15:00,10:30:00,Arnulf,1,0,1,NA
2020-01-01,10:30:00,10:45:00,Arnulf,1,0,1,NA
2020-01-01,10:45:00,11:00:00,Arnulf,3,0,3,NA
2020-01-01,11:00:00,11:15:00,Arnulf,2,0,2,NA
2020-01-01,11:15:00,11:30:00,Arnulf,2,0,2,NA
2020-01-01,11:30:00,11:45:00,Arnulf,2,2,4,NA
2020-01-01,11:45:00,12:00:00,Arnulf,0,0,0,NA
2020-01-01,12:00:00,12:15:00,Arnulf,10,0,10,NA
2020-01-01,12:15:00,12:30:00,Arnulf,0,0,0,NA
2020-01-01,12:30:00,12:45:00,Arnulf,1,1,2,NA
2020-01-01,12:45:00,13:00:00,Arnulf,5,0,5,NA
2020-01-01,13:00:00,13:15:00,Arnulf,4,1,5,NA
2020-01-01,13:15:00,13:30:00,Arnulf,2,0,2,NA
2020-01-01,13:30:00,13:45:00,Arnulf,5,0,5,NA
2020-01-01,13:45:00,14:00:00,Arnulf,6,0,6,NA
2020-01-01,14:00:00,14:15:00,Arnulf,2,1,3,NA
2020-01-01,14:15:00,14:30:00,Arnulf,3,0,3,NA
2020-01-01,14:30:00,14:45:00,Arnulf,1,0,1,NA
2020-01-01,14:45:00,15:00:00,Arnulf,4,1,5,NA
