Date,Total
1 May 2012,6979
2 May 2012,10375
3 May 2012,10839
4 May 2012,10365
5 May 2012,6395
6 May 2012,4225
7 May 2012,9568
8 May 2012,10420
9 May 2012,9003
10 May 2012,11779
11 May 2012,10599
12 May 2012,6464
13 May 2012,4723
14 May 2012,10679
15 May 2012,8899
16 May 2012,7395
17 May 2012,5256
18 May 2012,7911
19 May 2012,8349
20 May 2012,4918
21 May 2012,8405
22 May 2012,9771
23 May 2012,8966
24 May 2012,10059
25 May 2012,10113
26 May 2012,6816
27 May 2012,3811
28 May 2012,4043
29 May 2012,7496
30 May 2012,6632
31 May 2012,6984
1 June 2012,6393
2 June 2012,6440
3 June 2012,2425
4 June 2012,6541
5 June 2012,8983
6 June 2012,8231
7 June 2012,4143
8 June 2012,6044
9 June 2012,7127
10 June 2012,4417
11 June 2012,8315
12 June 2012,6156
13 June 2012,8928
14 June 2012,10322
15 June 2012,10222
16 June 2012,8428
17 June 2012,6899
18 June 2012,10311
19 June 2012,10547
20 June 2012,9639
21 June 2012,10178
22 June 2012,10554
23 June 2012,8301
24 June 2012,4438
25 June 2012,8464
26 June 2012,11091
27 June 2012,11505
28 June 2012,12375
29 June 2012,9828
30 June 2012,8447
1 July 2012,2552
2 July 2012,7197
3 July 2012,8763
4 July 2012,11019
5 July 2012,11106
6 July 2012,8913
7 July 2012,8358
8 July 2012,5429
9 July 2012,10712
10 July 2012,11334
11 July 2012,10661
12 July 2012,10421
13 July 2012,8024
14 July 2012,6835
15 July 2012,3634
16 July 2012,10717
17 July 2012,10924
18 July 2012,11803
19 July 2012,10777
20 July 2012,9119
21 July 2012,7076
22 July 2012,5358
23 July 2012,10869
24 July 2012,11601
25 July 2012,11690
26 July 2012,11638
27 July 2012,10483
28 July 2012,7491
29 July 2012,4328
30 July 2012,9227
31 July 2012,9720
1 August 2012,9749
2 August 2012,9493
3 August 2012,9187
4 August 2012,6797
5 August 2012,4104
6 August 2012,6398
7 August 2012,8669
8 August 2012,9240
9 August 2012,8556
10 August 2012,8223
11 August 2012,6542
12 August 2012,4350
13 August 2012,7856
14 August 2012,8606
15 August 2012,8222
16 August 2012,7419
17 August 2012,7898
18 August 2012,5925
19 August 2012,3755
20 August 2012,6969
21 August 2012,7836
22 August 2012,7653
23 August 2012,7799
24 August 2012,4674
25 August 2012,5063
26 August 2012,3065
27 August 2012,7625
28 August 2012,7447
29 August 2012,7520
30 August 2012,6248
31 August 2012,5123
1 September 2012,3846
2 September 2012,3240
3 September 2012,7427
4 September 2012,8196
5 September 2012,8279
6 September 2012,8323
7 September 2012,8521
8 September 2012,7107
9 September 2012,4239
10 September 2012,9120
11 September 2012,7274
12 September 2012,6926
13 September 2012,8209
14 September 2012,8667
15 September 2012,6171
16 September 2012,4612
17 September 2012,8831
18 September 2012,8440
19 September 2012,8105
20 September 2012,8923
21 September 2012,8311
22 September 2012,4572
23 September 2012,3838
24 September 2012,6845
25 September 2012,6850
26 September 2012,7435
27 September 2012,7274
28 September 2012,8560
29 September 2012,6968
30 September 2012,3350
1 October 2012,8057
2 October 2012,9328
3 October 2012,4010
4 October 2012,7795
5 October 2012,8913
6 October 2012,6557
7 October 2012,2774
8 October 2012,7781
9 October 2012,5874
10 October 2012,6799
11 October 2012,8685
12 October 2012,6958
13 October 2012,6572
14 October 2012,3205
15 October 2012,7573
16 October 2012,8532
17 October 2012,8958
18 October 2012,9387
19 October 2012,9366
20 October 2012,7580
21 October 2012,4812
22 October 2012,9257
23 October 2012,9552
24 October 2012,9616
25 October 2012,9815
26 October 2012,8486
27 October 2012,3134
28 October 2012,2414
29 October 2012,7352
30 October 2012,7887
31 October 2012,8574
1 November 2012,3723
2 November 2012,6003
3 November 2012,5466
4 November 2012,2217
5 November 2012,7899
6 November 2012,8887
7 November 2012,8661
8 November 2012,9117
9 November 2012,8730
10 November 2012,3688
11 November 2012,2294
12 November 2012,8323
13 November 2012,8823
14 November 2012,8708
15 November 2012,8383
16 November 2012,7834
17 November 2012,5882
18 November 2012,3704
19 November 2012,7844
20 November 2012,8329
21 November 2012,8681
22 November 2012,8250
23 November 2012,8448
24 November 2012,6358
25 November 2012,3660
26 November 2012,6204
27 November 2012,6058
28 November 2012,5872
29 November 2012,6349
30 November 2012,6781
1 December 2012,5028
2 December 2012,2224
3 December 2012,6083
4 December 2012,6741
5 December 2012,6319
6 December 2012,6285
7 December 2012,5231
8 December 2012,3659
9 December 2012,1965
10 December 2012,5771
11 December 2012,4236
12 December 2012,4305
13 December 2012,4779
14 December 2012,5275
15 December 2012,4585
16 December 2012,2955
17 December 2012,7175
18 December 2012,7568
19 December 2012,7930
20 December 2012,6237
21 December 2012,5930
22 December 2012,3394
23 December 2012,1785
24 December 2012,2522
25 December 2012,947
26 December 2012,874
27 December 2012,1921
28 December 2012,3031
29 December 2012,3286
30 December 2012,1818
31 December 2012,2928
1 January 2013,1399
2 January 2013,3831
3 January 2013,3755
4 January 2013,4051
5 January 2013,3505
6 January 2013,2238
7 January 2013,6786
8 January 2013,7236
9 January 2013,7350
10 January 2013,6934
11 January 2013,6768
12 January 2013,5010
13 January 2013,2696
14 January 2013,6278
15 January 2013,6325
16 January 2013,6094
17 January 2013,4180
18 January 2013,4171
19 January 2013,2509
20 January 2013,806
21 January 2013,3990
22 January 2013,5671
23 January 2013,6069
24 January 2013,5926
25 January 2013,5707
26 January 2013,4282
27 January 2013,2399
28 January 2013,6439
29 January 2013,5841
30 January 2013,6317
31 January 2013,6898
1 February 2013,5420
2 February 2013,4456
3 February 2013,3066
4 February 2013,5696
5 February 2013,5588
6 February 2013,5514
7 February 2013,4340
8 February 2013,4624
9 February 2013,2959
10 February 2013,1950
11 February 2013,2978
12 February 2013,3183
13 February 2013,3765
14 February 2013,4313
15 February 2013,4163
16 February 2013,3691
17 February 2013,2029
18 February 2013,5791
19 February 2013,6137
20 February 2013,5630
21 February 2013,5666
22 February 2013,5036
23 February 2013,3180
24 February 2013,1424
25 February 2013,4868
26 February 2013,5502
27 February 2013,5708
28 February 2013,5780
1 March 2013,5770
2 March 2013,4053
3 March 2013,2500
4 March 2013,6196
5 March 2013,6539
6 March 2013,6609
7 March 2013,6947
8 March 2013,6351
9 March 2013,4720
10 March 2013,2591
