date,Location,min.temp,max.temp,Total
2015-01-01,1,-5,-2,726
2015-01-01,2,-5,-2,201
2015-01-01,3,-5,-2,448
2015-01-01,4,-5,-2,925
2015-01-02,1,-7,6,1169
2015-01-02,2,-7,6,403
2015-01-02,3,-7,6,726
2015-01-02,4,-7,6,1819
2015-01-03,1,1,11,1667
2015-01-03,2,1,11,377
2015-01-03,3,1,11,749
2015-01-03,4,1,11,2376
2015-01-04,1,1,5,2126
2015-01-04,2,1,5,491
2015-01-04,3,1,5,899
2015-01-04,4,1,5,2179
2015-01-05,1,-5,4,4213
2015-01-05,2,-5,4,922
2015-01-05,3,-5,4,1781
2015-01-05,4,-5,4,5157
2015-01-06,1,-6,3,2652
2015-01-06,2,-6,3,557
2015-01-06,3,-6,3,1119
2015-01-06,4,-6,3,2767
2015-01-07,1,1,4,6482
2015-01-07,2,1,4,1429
2015-01-07,3,1,4,2596
2015-01-07,4,1,4,7155
2015-01-08,1,8,10,6788
2015-01-08,2,8,10,1521
2015-01-08,3,8,10,2800
2015-01-08,4,8,10,7857
2015-01-09,1,9,11,6188
2015-01-09,2,9,11,1378
2015-01-09,3,9,11,2533
2015-01-09,4,9,11,7255
2015-01-10,1,13,15,4025
2015-01-10,2,13,15,758
2015-01-10,3,13,15,1592
2015-01-10,4,13,15,5584
2015-01-11,1,4,5,2929
2015-01-11,2,4,5,576
2015-01-11,3,4,5,1313
2015-01-11,4,4,5,3199
2015-01-12,1,6,8,7628
2015-01-12,2,6,8,1612
2015-01-12,3,6,8,3101
2015-01-12,4,6,8,8393
2015-01-13,1,12,14,9166
2015-01-13,2,12,14,1916
2015-01-13,3,12,14,3431
2015-01-13,4,12,14,9462
2015-01-14,1,7,8,6649
2015-01-14,2,7,8,1446
2015-01-14,3,7,8,2885
2015-01-14,4,7,8,7382
2015-01-15,1,9,13,8195
2015-01-15,2,9,13,1760
2015-01-15,3,9,13,3380
2015-01-15,4,9,13,9010
2015-01-16,1,5,7,5332
2015-01-16,2,5,7,1220
2015-01-16,3,5,7,2282
2015-01-16,4,5,7,5835
2015-01-17,1,4,4,3239
2015-01-17,2,4,4,521
2015-01-17,3,4,4,1327
2015-01-17,4,4,4,3947
2015-01-18,1,-2,4,3270
2015-01-18,2,-2,4,654
2015-01-18,3,-2,4,1344
2015-01-18,4,-2,4,3368
2015-01-19,1,-2,2,6579
2015-01-19,2,-2,2,1509
2015-01-19,3,-2,2,2811
2015-01-19,4,-2,2,7270
2015-01-20,1,0,1,6100
2015-01-20,2,0,1,1255
2015-01-20,3,0,1,2571
2015-01-20,4,0,1,6780
2015-01-21,1,0,2,7278
2015-01-21,2,0,2,1510
2015-01-21,3,0,2,2974
2015-01-21,4,0,2,8062
2015-01-22,1,0,1,7167
2015-01-22,2,0,1,1542
2015-01-22,3,0,1,3015
2015-01-22,4,0,1,8293
2015-01-23,1,0,2,6781
2015-01-23,2,0,2,1410
2015-01-23,3,0,2,2646
2015-01-23,4,0,2,7968
2015-01-24,1,0,3,3875
2015-01-24,2,0,3,687
2015-01-24,3,0,3,1515
2015-01-24,4,0,3,4637
2015-01-25,1,0,3,2585
2015-01-25,2,0,3,533
2015-01-25,3,0,3,1125
2015-01-25,4,0,3,2924
2015-01-26,1,0,2,5073
2015-01-26,2,0,2,1288
2015-01-26,3,0,2,2344
2015-01-26,4,0,2,6145
2015-01-27,1,1,4,6646
2015-01-27,2,1,4,1414
2015-01-27,3,1,4,2827
2015-01-27,4,1,4,7323
2015-01-28,1,0,6,7155
2015-01-28,2,0,6,1475
2015-01-28,3,0,6,2965
2015-01-28,4,0,6,7885
2015-01-29,1,2,6,6503
2015-01-29,2,2,6,1443
2015-01-29,3,2,6,2888
2015-01-29,4,2,6,7905
2015-01-30,1,1,3,5798
2015-01-30,2,1,3,1273
2015-01-30,3,1,3,2538
2015-01-30,4,1,3,7188
2015-01-31,1,2,6,5316
2015-01-31,2,2,6,730
2015-01-31,3,2,6,1669
2015-01-31,4,2,6,4837
2015-02-01,1,1,2,2383
2015-02-01,2,1,2,536
2015-02-01,3,1,2,1215
