Month,Bonner Straße,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Zülpicher Straße
Januar,,44251,35440,59511,78837
Februar,,51170,41359,69700,81100
März,,85068,59772,102189,112043
April,49907,115822,96908,137768,156947
Mai,61307,131975,92060,155802,189815
Juni,56745,113077,85619,128071,149579
Juli,61682,132848,88836,141034,159542
August,82386,129302,86985,133934,135030
September,74809,140851,91258,146066,152016
Oktober,60879,131636,79953,124535,148450
November,54086,106110,68411,115729,143741
Dezember,38270,61646,43678,83466,92893
Jahressumme,540071,1243756,870279,1397805,1599993
