Month,Bonner Straße,Deutzer Brücke,Hohenzollernbrücke,Neumarkt,Venloer Straße,Zülpicher Straße
Januar,49985,76458,36867,85667,84581,94479
Februar,43544,66419,32027,79808,73354,84709
März,62467,98143,47324,118677,110265,125168
April,69963,117103,57179,150837,138741,151235
Mai,79321,131785,63546,162391,152621,168074
Juni,87496,174446,71120,168636,172093,188108
Juli,81697,174117,65960,153002,159057,174459
August,87282,190656,68799,157605,163833,181967
September,76810,136573,58238,124257,135760,154036
Oktober,71699,129444,57231,115534,137194,151372
November,65496,108705,51758,98725,123419,136895
Dezember,60035,94174,47861,95147,114656,126588
Jahressumme,835795,1498025,657910,1510286,1565574,1737091
