Month,Deutzer BrÃ¼cke,HohenzollernbrÃ¼cke,Neumarkt,ZÃ¼lpicher StraÃŸe,Bonner StraÃŸe,Venloer StraÃŸe,A.-SchÃ¼tte-Allee,Vorgebirgspark,A.-Silbermann-Weg,Stadtwald,NiederlÃ¤nder Ufer
Jan,84.624,39.266,103.429,103.856,52.631,96.307,19.364,9.409,57.163,28.424,23.376
Feb,73.872,35.621,90.288,94.214,46.969,83.046,17.507,9.087,48.531,25.587,10.527
Mrz,91.858,45.409,112.271,117.152,56.959,104.711,25.385,11.042,57.456,32.326,18.661
Apr,126.689,70.366,154.842,166.072,74.178,148.794,44.908,17.993,99.398,59.493,48.115
Mai,126.405,73.250,155.514,163.905,81.505,167.864,63.943,22.337,113.598,72.329,76.723
Jun,111.706,71.190,140.535,162.250,79.222,158.375,47.881,20.262,111.070,65.028,62.510
Jul,130.914,78.656,161.107,164.747,85.167,176.785,65.801,22.649,115.560,68.859,81.248
Aug,141.775,82.438,162.742,140.839,84.979,173.707,72.244,23.691,101.735,71.260,87.100
Sep,156.950,97.870,180.931,154.748,96.794,193.330,69.044,26.021,113.400,85.976,87.067
Okt,95.540,64.150,123.931,135.457,71.028,140.484,35.675,16.008,80.811,46.101,44.825
Nov,73.828,50.576,102.838,120.698,60.601,118.489,23.490,12.756,72.890,34.122,30.872
Dez,67.412,42.624,105.695,108.448,58.946,113.939,20.242,10.779,61.351,29.608,27.347
