Month,Deutzer BrÃ¼cke,HohenzollernbrÃ¼cke,Neumarkt,ZÃ¼lpicher StraÃŸe,Bonner StraÃŸe,Venloer StraÃŸe,A.-SchÃ¼tte-Allee,Vorgebirgspark,A.-Silbermann-Weg,Stadtwald,NiederlÃ¤nder Ufer,Vorgebirgswall
Jan,76.412,50.021,85.504,106.001,60.630,111.149,18.467,13.022,62.268,35.475,31.617,
Feb,58.196,38.502,65.779,75.472,47.807,86.559,17.245,10.749,46.861,27.605,23.587,
Mrz,80.763,50.827,87.755,96.248,59.092,112.563,26.391,13.925,58.023,38.231,36.091,
Apr,148.634,79.064,148.421,150.890,84.457,180.975,60.045,25.137,116.584,81.942,81.362,
Mai,166.417,86.302,167.093,165.579,96.882,204.335,77.572,29.120,129.756,95.611,101.128,
Jun,164.822,89.479,161.787,168.165,92.499,203.861,69.320,29.247,130.764,100.898,88.406,113.297
Jul,190.938,98.611,180.602,127.358,107.030,222.446,86.477,32.373,138.730,108.215,113.047,122.605
Aug,161.976,86.313,158.705,90.879,96.481,189.478,70.957,25.724,106.172,79.543,88.962,89.892
Sep,150.767,87.128,150.835,84.223,93.619,183.235,61.012,26.358,103.837,82.839,77.068,98.370
Okt,138.052,81.110,141.434,90.930,88.026,185.389,49.930,23.552,112.808,72.243,65.139,97.465
Nov,104.578,66.725,117.888,69.890,76.149,151.433,31.387,19.119,89.531,57.774,42.859,79.443
Dez,70.963,42.090,91.582,52.754,60.177,113.746,19.525,12.508,57.452,37.462,26.124,54.619
