Month,Deutzer BrÃ¼cke,HohenzollernbrÃ¼cke,Neumarkt,ZÃ¼lpicher StraÃŸe,Bonner StraÃŸe,Venloer StraÃŸe,Vorgebirgswall,A.-SchÃ¼tte-Allee,Vorgebirgspark,A.-Silbermann-Weg,Stadtwald,NiederlÃ¤nder Ufer
Januar,66.142,45.682,73.649,48.995,56.673,103.064,50.868,17.848,12.813,58.207,33.266,24.636
Februar,91.526,58.316,99.946,43.678,66.774,126.536,60.726,30.405,17.223,69.973,48.211,43.383
Marz,85.720,55.349,96.706,59.474,64.343,124.736,61.263,28.158,17.666,69.098,47.574,41.581
April,138.743,74.686,136.831,79.781,86.426,168.802,58.919,47.935,23.282,109.308,72.270,68.550
Mai,137.442,77.546,142.154,84.162,98.109,182.593,74.139,51.331,25.689,115.448,79.960,70.067
Juni,174.148,89.990,171.429,88.343,109.480,210.243,83.089,81.927,33.683,132.615,106.302,104.832
Juli,183.895,97.238,179.839,167.866,121.477,216.601,115.603,79.736,31.530,132.594,96.157,98.890
August,167.144,84.728,160.748,120.082,112.762,194.088,102.854,75.885,27.673,109.321,81.882,89.259
September,148.819,83.879,145.873,118.732,108.252,190.480,109.651,61.122,27.356,107.214,82.937,70.959
Oktober,122.080,71.251,123.549,122.400,95.057,172.317,63.361,40.818,21.536,92.953,58.888,50.018
November,97.937,57.806,110.658,95.937,82.688,146.411,72.341,30.831,18.734,77.681,50.782,39.036
Dezember,78.588,42.808,98.449,80.474,73.052,125.341,60.356,23.978,14.018,59.565,37.378,30.589
