Time,Gesamt,Stadteinwärts,Stadtauswärts,
2019-01-01 00:00:00,76,41,35,
2019-01-02 00:00:00,433,215,218,
2019-01-03 00:00:00,398,190,208,
2019-01-04 00:00:00,324,159,165,
2019-01-05 00:00:00,192,104,88,
2019-01-06 00:00:00,121,53,68,
2019-01-07 00:00:00,441,220,221,
2019-01-08 00:00:00,364,182,182,
2019-01-09 00:00:00,470,241,229,
2019-01-10 00:00:00,518,253,265,
2019-01-11 00:00:00,386,183,203,
2019-01-12 00:00:00,199,95,104,
2019-01-13 00:00:00,74,34,40,
2019-01-14 00:00:00,476,236,240,
2019-01-15 00:00:00,502,254,248,
2019-01-16 00:00:00,517,262,255,
2019-01-17 00:00:00,408,197,211,
2019-01-18 00:00:00,482,239,243,
2019-01-19 00:00:00,313,157,156,
2019-01-20 00:00:00,161,79,82,
2019-01-21 00:00:00,456,229,227,
2019-01-22 00:00:00,440,233,207,
2019-01-23 00:00:00,245,129,116,
2019-01-24 00:00:00,343,178,165,
2019-01-25 00:00:00,367,180,187,
2019-01-26 00:00:00,204,113,91,
2019-01-27 00:00:00,99,49,50,
2019-01-28 00:00:00,274,141,133,
2019-01-29 00:00:00,474,236,238,
2019-01-30 00:00:00,291,152,139,
2019-01-31 00:00:00,235,126,109,
2019-02-01 00:00:00,320,143,177,
2019-02-02 00:00:00,154,74,80,
2019-02-03 00:00:00,145,75,70,
2019-02-04 00:00:00,400,194,206,
2019-02-05 00:00:00,451,226,225,
2019-02-06 00:00:00,442,224,218,
2019-02-07 00:00:00,442,221,221,
2019-02-08 00:00:00,433,230,203,
2019-02-09 00:00:00,275,135,140,
2019-02-10 00:00:00,73,27,46,
2019-02-11 00:00:00,434,219,215,
2019-02-12 00:00:00,574,288,286,
2019-02-13 00:00:00,537,273,264,
2019-02-14 00:00:00,659,345,314,
2019-02-15 00:00:00,732,373,359,
2019-02-16 00:00:00,603,286,317,
2019-02-17 00:00:00,453,237,216,
2019-02-18 00:00:00,782,374,408,
2019-02-19 00:00:00,651,337,314,
2019-02-20 00:00:00,647,323,324,
2019-02-21 00:00:00,647,317,330,
2019-02-22 00:00:00,616,306,310,
2019-02-23 00:00:00,558,269,289,
2019-02-24 00:00:00,501,253,248,
2019-02-25 00:00:00,849,413,436,
2019-02-26 00:00:00,867,444,423,
2019-02-27 00:00:00,830,429,401,
2019-02-28 00:00:00,764,377,387,
2019-03-01 00:00:00,477,233,244,
2019-03-02 00:00:00,397,181,216,
2019-03-03 00:00:00,91,39,52,
2019-03-04 00:00:00,281,142,139,
2019-03-05 00:00:00,547,273,274,
2019-03-06 00:00:00,512,253,259,
2019-03-07 00:00:00,421,214,207,
2019-03-08 00:00:00,532,264,268,
