Time,Gesamt,StadteinwÃ¤rts,StadtauswÃ¤rts
2024-01-01T00:00:00,153,62,91
2024-01-02T00:00:00,370,155,215
2024-01-03T00:00:00,353,169,184
2024-01-04T00:00:00,373,185,188
2024-01-05T00:00:00,502,251,251
2024-01-06T00:00:00,415,192,223
2024-01-07T00:00:00,244,106,138
2024-01-08T00:00:00,630,311,319
2024-01-09T00:00:00,256,256,0
2024-01-10T00:00:00,578,273,305
2024-01-11T00:00:00,632,301,331
2024-01-12T00:00:00,341,163,178
2024-01-13T00:00:00,352,177,175
2024-01-14T00:00:00,131,53,78
2024-01-15T00:00:00,400,196,204
2024-01-16T00:00:00,529,251,278
2024-01-17T00:00:00,362,158,204
2024-01-18T00:00:00,343,189,154
2024-01-19T00:00:00,416,195,221
2024-01-20T00:00:00,335,148,187
2024-01-21T00:00:00,166,55,111
2024-01-22T00:00:00,481,243,238
2024-01-23T00:00:00,692,350,342
2024-01-24T00:00:00,512,236,276
2024-01-25T00:00:00,829,416,413
2024-01-26T00:00:00,547,269,278
2024-01-27T00:00:00,571,299,272
2024-01-28T00:00:00,385,182,203
2024-01-30T00:00:00,915,468,447
2024-01-31T00:00:00,814,396,418
2024-02-01T00:00:00,910,428,482
2024-02-02T00:00:00,1115,564,551
2024-02-03T00:00:00,330,162,168
2024-02-04T00:00:00,157,69,88
2024-02-05T00:00:00,891,451,440
2024-02-06T00:00:00,613,316,297
2024-02-07T00:00:00,583,275,308
2024-02-08T00:00:00,460,223,237
2024-02-09T00:00:00,656,340,316
2024-02-10T00:00:00,620,287,333
2024-02-11T00:00:00,281,127,154
2024-02-12T00:00:00,657,320,337
2024-02-13T00:00:00,885,429,456
2024-02-14T00:00:00,632,298,334
2024-02-15T00:00:00,1124,564,560
2024-02-16T00:00:00,770,356,414
2024-02-17T00:00:00,834,421,413
2024-02-18T00:00:00,197,85,112
2024-02-19T00:00:00,760,370,390
2024-02-20T00:00:00,944,458,486
2024-02-21T00:00:00,857,409,448
2024-02-22T00:00:00,756,354,402
2024-02-23T00:00:00,779,361,418
2024-02-24T00:00:00,475,222,253
2024-02-25T00:00:00,318,148,170
2024-02-26T00:00:00,538,278,260
2024-02-27T00:00:00,910,451,459
2024-02-28T00:00:00,872,450,422
2024-02-29T00:00:00,1372,715,657
2024-03-01T00:00:00,1379,691,688
2024-03-02T00:00:00,876,405,471
2024-03-03T00:00:00,937,490,447
2024-03-04T00:00:00,983,478,505
2024-03-05T00:00:00,1165,613,552
2024-03-06T00:00:00,1521,751,770
2024-03-07T00:00:00,1012,483,529
