Zählstelle;Inbetriebnahme;Total;Location
01.01.15;00:00:00;8;12-PA-SCH
01.01.15;01:00:00;10;12-PA-SCH
01.01.15;02:00:00;8;12-PA-SCH
01.01.15;03:00:00;6;12-PA-SCH
01.01.15;04:00:00;6;12-PA-SCH
01.01.15;05:00:00;3;12-PA-SCH
01.01.15;06:00:00;12;12-PA-SCH
01.01.15;07:00:00;3;12-PA-SCH
01.01.15;08:00:00;3;12-PA-SCH
01.01.15;09:00:00;3;12-PA-SCH
01.01.15;10:00:00;9;12-PA-SCH
01.01.15;11:00:00;21;12-PA-SCH
01.01.15;12:00:00;44;12-PA-SCH
01.01.15;13:00:00;60;12-PA-SCH
01.01.15;14:00:00;84;12-PA-SCH
01.01.15;15:00:00;90;12-PA-SCH
01.01.15;16:00:00;41;12-PA-SCH
01.01.15;17:00:00;19;12-PA-SCH
01.01.15;18:00:00;24;12-PA-SCH
01.01.15;19:00:00;9;12-PA-SCH
01.01.15;20:00:00;11;12-PA-SCH
01.01.15;21:00:00;8;12-PA-SCH
01.01.15;22:00:00;2;12-PA-SCH
01.01.15;23:00:00;9;12-PA-SCH
02.01.15;00:00:00;1;12-PA-SCH
02.01.15;01:00:00;1;12-PA-SCH
02.01.15;02:00:00;0;12-PA-SCH
02.01.15;03:00:00;4;12-PA-SCH
02.01.15;04:00:00;0;12-PA-SCH
02.01.15;05:00:00;2;12-PA-SCH
02.01.15;06:00:00;11;12-PA-SCH
02.01.15;07:00:00;15;12-PA-SCH
02.01.15;08:00:00;20;12-PA-SCH
02.01.15;09:00:00;26;12-PA-SCH
02.01.15;10:00:00;24;12-PA-SCH
02.01.15;11:00:00;28;12-PA-SCH
02.01.15;12:00:00;28;12-PA-SCH
02.01.15;13:00:00;31;12-PA-SCH
02.01.15;14:00:00;35;12-PA-SCH
02.01.15;15:00:00;66;12-PA-SCH
02.01.15;16:00:00;59;12-PA-SCH
02.01.15;17:00:00;41;12-PA-SCH
02.01.15;18:00:00;25;12-PA-SCH
02.01.15;19:00:00;26;12-PA-SCH
02.01.15;20:00:00;27;12-PA-SCH
02.01.15;21:00:00;15;12-PA-SCH
02.01.15;22:00:00;16;12-PA-SCH
02.01.15;23:00:00;6;12-PA-SCH
03.01.15;00:00:00;12;12-PA-SCH
03.01.15;01:00:00;3;12-PA-SCH
03.01.15;02:00:00;6;12-PA-SCH
03.01.15;03:00:00;2;12-PA-SCH
03.01.15;04:00:00;1;12-PA-SCH
03.01.15;05:00:00;2;12-PA-SCH
03.01.15;06:00:00;4;12-PA-SCH
03.01.15;07:00:00;4;12-PA-SCH
03.01.15;08:00:00;12;12-PA-SCH
03.01.15;09:00:00;18;12-PA-SCH
03.01.15;10:00:00;26;12-PA-SCH
03.01.15;11:00:00;36;12-PA-SCH
03.01.15;12:00:00;53;12-PA-SCH
03.01.15;13:00:00;52;12-PA-SCH
03.01.15;14:00:00;70;12-PA-SCH
03.01.15;15:00:00;78;12-PA-SCH
03.01.15;16:00:00;65;12-PA-SCH
03.01.15;17:00:00;47;12-PA-SCH
03.01.15;18:00:00;38;12-PA-SCH
03.01.15;19:00:00;53;12-PA-SCH
03.01.15;20:00:00;27;12-PA-SCH
03.01.15;21:00:00;21;12-PA-SCH
03.01.15;22:00:00;9;12-PA-SCH
03.01.15;23:00:00;8;12-PA-SCH
04.01.15;00:00:00;14;12-PA-SCH
04.01.15;01:00:00;7;12-PA-SCH
04.01.15;02:00:00;2;12-PA-SCH
04.01.15;03:00:00;3;12-PA-SCH
04.01.15;04:00:00;0;12-PA-SCH
04.01.15;05:00:00;3;12-PA-SCH
04.01.15;06:00:00;2;12-PA-SCH
04.01.15;07:00:00;7;12-PA-SCH
04.01.15;08:00:00;8;12-PA-SCH
04.01.15;09:00:00;23;12-PA-SCH
04.01.15;10:00:00;39;12-PA-SCH
04.01.15;11:00:00;77;12-PA-SCH
04.01.15;12:00:00;109;12-PA-SCH
04.01.15;13:00:00;105;12-PA-SCH
04.01.15;14:00:00;111;12-PA-SCH
04.01.15;15:00:00;135;12-PA-SCH
04.01.15;16:00:00;93;12-PA-SCH
04.01.15;17:00:00;59;12-PA-SCH
04.01.15;18:00:00;30;12-PA-SCH
04.01.15;19:00:00;25;12-PA-SCH
04.01.15;20:00:00;29;12-PA-SCH
04.01.15;21:00:00;13;12-PA-SCH
04.01.15;22:00:00;6;12-PA-SCH
04.01.15;23:00:00;4;12-PA-SCH
05.01.15;00:00:00;7;12-PA-SCH
05.01.15;01:00:00;2;12-PA-SCH
05.01.15;02:00:00;1;12-PA-SCH
05.01.15;03:00:00;3;12-PA-SCH
05.01.15;04:00:00;0;12-PA-SCH
05.01.15;05:00:00;4;12-PA-SCH
05.01.15;06:00:00;21;12-PA-SCH
05.01.15;07:00:00;122;12-PA-SCH
05.01.15;08:00:00;115;12-PA-SCH
05.01.15;09:00:00;88;12-PA-SCH
05.01.15;10:00:00;34;12-PA-SCH
05.01.15;11:00:00;33;12-PA-SCH
05.01.15;12:00:00;34;12-PA-SCH
05.01.15;13:00:00;37;12-PA-SCH
05.01.15;14:00:00;59;12-PA-SCH
05.01.15;15:00:00;91;12-PA-SCH
05.01.15;16:00:00;78;12-PA-SCH
05.01.15;17:00:00;80;12-PA-SCH
05.01.15;18:00:00;83;12-PA-SCH
05.01.15;19:00:00;57;12-PA-SCH
05.01.15;20:00:00;42;12-PA-SCH
05.01.15;21:00:00;36;12-PA-SCH
05.01.15;22:00:00;17;12-PA-SCH
05.01.15;23:00:00;9;12-PA-SCH
06.01.15;00:00:00;7;12-PA-SCH
06.01.15;01:00:00;6;12-PA-SCH
06.01.15;02:00:00;1;12-PA-SCH
06.01.15;03:00:00;0;12-PA-SCH
06.01.15;04:00:00;0;12-PA-SCH
06.01.15;05:00:00;3;12-PA-SCH
06.01.15;06:00:00;29;12-PA-SCH
06.01.15;07:00:00;131;12-PA-SCH
06.01.15;08:00:00;163;12-PA-SCH
06.01.15;09:00:00;120;12-PA-SCH
06.01.15;10:00:00;57;12-PA-SCH
06.01.15;11:00:00;51;12-PA-SCH
06.01.15;12:00:00;47;12-PA-SCH
06.01.15;13:00:00;55;12-PA-SCH
06.01.15;14:00:00;75;12-PA-SCH
06.01.15;15:00:00;100;12-PA-SCH
06.01.15;16:00:00;139;12-PA-SCH
06.01.15;17:00:00;102;12-PA-SCH
06.01.15;18:00:00;127;12-PA-SCH
06.01.15;19:00:00;68;12-PA-SCH
06.01.15;20:00:00;51;12-PA-SCH
06.01.15;21:00:00;33;12-PA-SCH
06.01.15;22:00:00;26;12-PA-SCH
06.01.15;23:00:00;13;12-PA-SCH
07.01.15;00:00:00;5;12-PA-SCH
07.01.15;01:00:00;6;12-PA-SCH
07.01.15;02:00:00;4;12-PA-SCH
07.01.15;03:00:00;1;12-PA-SCH
07.01.15;04:00:00;1;12-PA-SCH
07.01.15;05:00:00;1;12-PA-SCH
07.01.15;06:00:00;23;12-PA-SCH
07.01.15;07:00:00;134;12-PA-SCH
07.01.15;08:00:00;140;12-PA-SCH
07.01.15;09:00:00;113;12-PA-SCH
07.01.15;10:00:00;40;12-PA-SCH
07.01.15;11:00:00;46;12-PA-SCH
07.01.15;12:00:00;48;12-PA-SCH
07.01.15;13:00:00;47;12-PA-SCH
07.01.15;14:00:00;62;12-PA-SCH
07.01.15;15:00:00;121;12-PA-SCH
07.01.15;16:00:00;134;12-PA-SCH
07.01.15;17:00:00;103;12-PA-SCH
07.01.15;18:00:00;110;12-PA-SCH
07.01.15;19:00:00;72;12-PA-SCH
07.01.15;20:00:00;52;12-PA-SCH
07.01.15;21:00:00;39;12-PA-SCH
07.01.15;22:00:00;29;12-PA-SCH
07.01.15;23:00:00;11;12-PA-SCH
08.01.15;00:00:00;4;12-PA-SCH
08.01.15;01:00:00;4;12-PA-SCH
08.01.15;02:00:00;4;12-PA-SCH
08.01.15;03:00:00;5;12-PA-SCH
08.01.15;04:00:00;0;12-PA-SCH
08.01.15;05:00:00;2;12-PA-SCH
08.01.15;06:00:00;16;12-PA-SCH
08.01.15;07:00:00;119;12-PA-SCH
08.01.15;08:00:00;152;12-PA-SCH
08.01.15;09:00:00;129;12-PA-SCH
08.01.15;10:00:00;41;12-PA-SCH
08.01.15;11:00:00;26;12-PA-SCH
08.01.15;12:00:00;48;12-PA-SCH
08.01.15;13:00:00;38;12-PA-SCH
08.01.15;14:00:00;64;12-PA-SCH
08.01.15;15:00:00;96;12-PA-SCH
08.01.15;16:00:00;119;12-PA-SCH
08.01.15;17:00:00;69;12-PA-SCH
08.01.15;18:00:00;87;12-PA-SCH
08.01.15;19:00:00;48;12-PA-SCH
08.01.15;20:00:00;39;12-PA-SCH
08.01.15;21:00:00;14;12-PA-SCH
08.01.15;22:00:00;12;12-PA-SCH
08.01.15;23:00:00;5;12-PA-SCH
09.01.15;00:00:00;5;12-PA-SCH
09.01.15;01:00:00;2;12-PA-SCH
09.01.15;02:00:00;3;12-PA-SCH
09.01.15;03:00:00;0;12-PA-SCH
09.01.15;04:00:00;2;12-PA-SCH
09.01.15;05:00:00;2;12-PA-SCH
09.01.15;06:00:00;16;12-PA-SCH
09.01.15;07:00:00;99;12-PA-SCH
09.01.15;08:00:00;131;12-PA-SCH
09.01.15;09:00:00;81;12-PA-SCH
09.01.15;10:00:00;61;12-PA-SCH
09.01.15;11:00:00;50;12-PA-SCH
09.01.15;12:00:00;55;12-PA-SCH
09.01.15;13:00:00;54;12-PA-SCH
09.01.15;14:00:00;49;12-PA-SCH
09.01.15;15:00:00;53;12-PA-SCH
09.01.15;16:00:00;62;12-PA-SCH
09.01.15;17:00:00;46;12-PA-SCH
09.01.15;18:00:00;65;12-PA-SCH
09.01.15;19:00:00;36;12-PA-SCH
09.01.15;20:00:00;40;12-PA-SCH
09.01.15;21:00:00;21;12-PA-SCH
09.01.15;22:00:00;16;12-PA-SCH
09.01.15;23:00:00;8;12-PA-SCH
10.01.15;00:00:00;6;12-PA-SCH
10.01.15;01:00:00;10;12-PA-SCH
10.01.15;02:00:00;6;12-PA-SCH
10.01.15;03:00:00;4;12-PA-SCH
10.01.15;04:00:00;3;12-PA-SCH
10.01.15;05:00:00;2;12-PA-SCH
10.01.15;06:00:00;1;12-PA-SCH
10.01.15;07:00:00;6;12-PA-SCH
10.01.15;08:00:00;12;12-PA-SCH
10.01.15;09:00:00;16;12-PA-SCH
10.01.15;10:00:00;31;12-PA-SCH
10.01.15;11:00:00;39;12-PA-SCH
10.01.15;12:00:00;42;12-PA-SCH
10.01.15;13:00:00;60;12-PA-SCH
10.01.15;14:00:00;48;12-PA-SCH
10.01.15;15:00:00;56;12-PA-SCH
10.01.15;16:00:00;53;12-PA-SCH
10.01.15;17:00:00;25;12-PA-SCH
10.01.15;18:00:00;37;12-PA-SCH
10.01.15;19:00:00;32;12-PA-SCH
10.01.15;20:00:00;12;12-PA-SCH
10.01.15;21:00:00;13;12-PA-SCH
10.01.15;22:00:00;6;12-PA-SCH
10.01.15;23:00:00;11;12-PA-SCH
