Date;Time;Total;Location
01.03.12;00:00:00;11;12-PA-SCH
01.03.12;01:00:00;10;12-PA-SCH
01.03.12;02:00:00;2;12-PA-SCH
01.03.12;03:00:00;2;12-PA-SCH
01.03.12;04:00:00;0;12-PA-SCH
01.03.12;05:00:00;6;12-PA-SCH
01.03.12;06:00:00;20;12-PA-SCH
01.03.12;07:00:00;82;12-PA-SCH
01.03.12;08:00:00;108;12-PA-SCH
01.03.12;09:00:00;81;12-PA-SCH
01.03.12;10:00:00;37;12-PA-SCH
01.03.12;11:00:00;31;12-PA-SCH
01.03.12;12:00:00;38;12-PA-SCH
01.03.12;13:00:00;38;12-PA-SCH
01.03.12;14:00:00;66;12-PA-SCH
01.03.12;15:00:00;87;12-PA-SCH
01.03.12;16:00:00;72;12-PA-SCH
01.03.12;17:00:00;108;12-PA-SCH
01.03.12;18:00:00;79;12-PA-SCH
01.03.12;19:00:00;71;12-PA-SCH
01.03.12;20:00:00;48;12-PA-SCH
01.03.12;21:00:00;31;12-PA-SCH
01.03.12;22:00:00;37;12-PA-SCH
01.03.12;23:00:00;21;12-PA-SCH
02.03.12;00:00:00;10;12-PA-SCH
02.03.12;01:00:00;8;12-PA-SCH
02.03.12;02:00:00;1;12-PA-SCH
02.03.12;03:00:00;0;12-PA-SCH
02.03.12;04:00:00;4;12-PA-SCH
02.03.12;05:00:00;4;12-PA-SCH
02.03.12;06:00:00;22;12-PA-SCH
02.03.12;07:00:00;84;12-PA-SCH
02.03.12;08:00:00;123;12-PA-SCH
02.03.12;09:00:00;85;12-PA-SCH
02.03.12;10:00:00;58;12-PA-SCH
02.03.12;11:00:00;60;12-PA-SCH
02.03.12;12:00:00;55;12-PA-SCH
02.03.12;13:00:00;74;12-PA-SCH
02.03.12;14:00:00;59;12-PA-SCH
02.03.12;15:00:00;84;12-PA-SCH
02.03.12;16:00:00;87;12-PA-SCH
02.03.12;17:00:00;94;12-PA-SCH
02.03.12;18:00:00;78;12-PA-SCH
02.03.12;19:00:00;69;12-PA-SCH
02.03.12;20:00:00;44;12-PA-SCH
02.03.12;21:00:00;18;12-PA-SCH
02.03.12;22:00:00;26;12-PA-SCH
02.03.12;23:00:00;17;12-PA-SCH
03.03.12;00:00:00;13;12-PA-SCH
03.03.12;01:00:00;6;12-PA-SCH
03.03.12;02:00:00;5;12-PA-SCH
03.03.12;03:00:00;4;12-PA-SCH
03.03.12;04:00:00;4;12-PA-SCH
03.03.12;05:00:00;5;12-PA-SCH
03.03.12;06:00:00;4;12-PA-SCH
03.03.12;07:00:00;14;12-PA-SCH
03.03.12;08:00:00;15;12-PA-SCH
03.03.12;09:00:00;46;12-PA-SCH
03.03.12;10:00:00;62;12-PA-SCH
03.03.12;11:00:00;86;12-PA-SCH
03.03.12;12:00:00;110;12-PA-SCH
03.03.12;13:00:00;125;12-PA-SCH
03.03.12;14:00:00;99;12-PA-SCH
03.03.12;15:00:00;145;12-PA-SCH
03.03.12;16:00:00;136;12-PA-SCH
03.03.12;17:00:00;130;12-PA-SCH
03.03.12;18:00:00;70;12-PA-SCH
03.03.12;19:00:00;58;12-PA-SCH
03.03.12;20:00:00;50;12-PA-SCH
03.03.12;21:00:00;26;12-PA-SCH
03.03.12;22:00:00;19;12-PA-SCH
03.03.12;23:00:00;15;12-PA-SCH
04.03.12;00:00:00;6;12-PA-SCH
04.03.12;01:00:00;16;12-PA-SCH
04.03.12;02:00:00;12;12-PA-SCH
04.03.12;03:00:00;10;12-PA-SCH
04.03.12;04:00:00;6;12-PA-SCH
04.03.12;05:00:00;3;12-PA-SCH
04.03.12;06:00:00;3;12-PA-SCH
04.03.12;07:00:00;7;12-PA-SCH
04.03.12;08:00:00;8;12-PA-SCH
04.03.12;09:00:00;35;12-PA-SCH
04.03.12;10:00:00;56;12-PA-SCH
04.03.12;11:00:00;67;12-PA-SCH
04.03.12;12:00:00;116;12-PA-SCH
04.03.12;13:00:00;129;12-PA-SCH
04.03.12;14:00:00;162;12-PA-SCH
04.03.12;15:00:00;184;12-PA-SCH
04.03.12;16:00:00;182;12-PA-SCH
04.03.12;17:00:00;154;12-PA-SCH
04.03.12;18:00:00;62;12-PA-SCH
04.03.12;19:00:00;49;12-PA-SCH
04.03.12;20:00:00;21;12-PA-SCH
04.03.12;21:00:00;20;12-PA-SCH
04.03.12;22:00:00;12;12-PA-SCH
04.03.12;23:00:00;7;12-PA-SCH
05.03.12;00:00:00;3;12-PA-SCH
05.03.12;01:00:00;6;12-PA-SCH
05.03.12;02:00:00;0;12-PA-SCH
05.03.12;03:00:00;1;12-PA-SCH
05.03.12;04:00:00;0;12-PA-SCH
05.03.12;05:00:00;7;12-PA-SCH
05.03.12;06:00:00;14;12-PA-SCH
05.03.12;07:00:00;96;12-PA-SCH
05.03.12;08:00:00;150;12-PA-SCH
05.03.12;09:00:00;95;12-PA-SCH
05.03.12;10:00:00;50;12-PA-SCH
05.03.12;11:00:00;49;12-PA-SCH
05.03.12;12:00:00;54;12-PA-SCH
05.03.12;13:00:00;71;12-PA-SCH
05.03.12;14:00:00;82;12-PA-SCH
05.03.12;15:00:00;135;12-PA-SCH
05.03.12;16:00:00;133;12-PA-SCH
05.03.12;17:00:00;124;12-PA-SCH
05.03.12;18:00:00;113;12-PA-SCH
05.03.12;19:00:00;57;12-PA-SCH
05.03.12;20:00:00;55;12-PA-SCH
05.03.12;21:00:00;29;12-PA-SCH
05.03.12;22:00:00;18;12-PA-SCH
05.03.12;23:00:00;14;12-PA-SCH
06.03.12;00:00:00;8;12-PA-SCH
06.03.12;01:00:00;2;12-PA-SCH
06.03.12;02:00:00;1;12-PA-SCH
06.03.12;03:00:00;1;12-PA-SCH
06.03.12;04:00:00;3;12-PA-SCH
06.03.12;05:00:00;2;12-PA-SCH
06.03.12;06:00:00;18;12-PA-SCH
06.03.12;07:00:00;115;12-PA-SCH
06.03.12;08:00:00;159;12-PA-SCH
06.03.12;09:00:00;110;12-PA-SCH
06.03.12;10:00:00;51;12-PA-SCH
06.03.12;11:00:00;50;12-PA-SCH
06.03.12;12:00:00;34;12-PA-SCH
06.03.12;13:00:00;59;12-PA-SCH
06.03.12;14:00:00;78;12-PA-SCH
06.03.12;15:00:00;119;12-PA-SCH
06.03.12;16:00:00;129;12-PA-SCH
06.03.12;17:00:00;137;12-PA-SCH
06.03.12;18:00:00;132;12-PA-SCH
06.03.12;19:00:00;72;12-PA-SCH
06.03.12;20:00:00;55;12-PA-SCH
06.03.12;21:00:00;24;12-PA-SCH
06.03.12;22:00:00;31;12-PA-SCH
06.03.12;23:00:00;12;12-PA-SCH
07.03.12;00:00:00;8;12-PA-SCH
07.03.12;01:00:00;3;12-PA-SCH
07.03.12;02:00:00;2;12-PA-SCH
07.03.12;03:00:00;2;12-PA-SCH
07.03.12;04:00:00;1;12-PA-SCH
07.03.12;05:00:00;8;12-PA-SCH
07.03.12;06:00:00;15;12-PA-SCH
07.03.12;07:00:00;102;12-PA-SCH
07.03.12;08:00:00;153;12-PA-SCH
07.03.12;09:00:00;121;12-PA-SCH
07.03.12;10:00:00;56;12-PA-SCH
07.03.12;11:00:00;44;12-PA-SCH
07.03.12;12:00:00;50;12-PA-SCH
07.03.12;13:00:00;56;12-PA-SCH
07.03.12;14:00:00;84;12-PA-SCH
07.03.12;15:00:00;103;12-PA-SCH
07.03.12;16:00:00;126;12-PA-SCH
07.03.12;17:00:00;141;12-PA-SCH
07.03.12;18:00:00;122;12-PA-SCH
07.03.12;19:00:00;83;12-PA-SCH
07.03.12;20:00:00;54;12-PA-SCH
07.03.12;21:00:00;29;12-PA-SCH
07.03.12;22:00:00;38;12-PA-SCH
07.03.12;23:00:00;8;12-PA-SCH
08.03.12;00:00:00;17;12-PA-SCH
08.03.12;01:00:00;9;12-PA-SCH
08.03.12;02:00:00;1;12-PA-SCH
08.03.12;03:00:00;0;12-PA-SCH
08.03.12;04:00:00;0;12-PA-SCH
08.03.12;05:00:00;6;12-PA-SCH
08.03.12;06:00:00;12;12-PA-SCH
08.03.12;07:00:00;75;12-PA-SCH
08.03.12;08:00:00;109;12-PA-SCH
08.03.12;09:00:00;73;12-PA-SCH
08.03.12;10:00:00;44;12-PA-SCH
08.03.12;11:00:00;39;12-PA-SCH
08.03.12;12:00:00;36;12-PA-SCH
08.03.12;13:00:00;32;12-PA-SCH
08.03.12;14:00:00;28;12-PA-SCH
08.03.12;15:00:00;67;12-PA-SCH
08.03.12;16:00:00;95;12-PA-SCH
08.03.12;17:00:00;104;12-PA-SCH
08.03.12;18:00:00;98;12-PA-SCH
08.03.12;19:00:00;63;12-PA-SCH
08.03.12;20:00:00;39;12-PA-SCH
08.03.12;21:00:00;24;12-PA-SCH
08.03.12;22:00:00;14;12-PA-SCH
08.03.12;23:00:00;16;12-PA-SCH
09.03.12;00:00:00;19;12-PA-SCH
09.03.12;01:00:00;3;12-PA-SCH
09.03.12;02:00:00;6;12-PA-SCH
09.03.12;03:00:00;0;12-PA-SCH
09.03.12;04:00:00;3;12-PA-SCH
09.03.12;05:00:00;4;12-PA-SCH
09.03.12;06:00:00;15;12-PA-SCH
09.03.12;07:00:00;95;12-PA-SCH
09.03.12;08:00:00;122;12-PA-SCH
09.03.12;09:00:00;85;12-PA-SCH
09.03.12;10:00:00;57;12-PA-SCH
