Time,Gesamt,StadteinwÃ¤rts,StadtauswÃ¤rts
2023-01-01T00:00:00,167,72,95
2023-01-02T00:00:00,427,205,222
2023-01-03T00:00:00,709,356,353
2023-01-04T00:00:00,434,209,225
2023-01-05T00:00:00,650,328,322
2023-01-06T00:00:00,580,303,277
2023-01-07T00:00:00,666,321,345
2023-01-08T00:00:00,268,147,121
2023-01-09T00:00:00,697,363,334
2023-01-10T00:00:00,844,443,401
2023-01-11T00:00:00,640,329,311
2023-01-12T00:00:00,399,193,206
2023-01-13T00:00:00,661,328,333
2023-01-14T00:00:00,210,100,110
2023-01-15T00:00:00,207,106,101
2023-01-16T00:00:00,626,333,293
2023-01-17T00:00:00,708,352,356
2023-01-18T00:00:00,778,385,393
2023-01-19T00:00:00,411,192,219
2023-01-20T00:00:00,581,301,280
2023-01-21T00:00:00,312,160,152
2023-01-22T00:00:00,128,56,72
2023-01-23T00:00:00,654,340,314
2023-01-24T00:00:00,753,374,379
2023-01-25T00:00:00,705,346,359
2023-01-26T00:00:00,498,250,248
2023-01-27T00:00:00,565,304,261
2023-01-28T00:00:00,384,192,192
2023-01-29T00:00:00,181,88,93
2023-01-30T00:00:00,612,323,289
2023-01-31T00:00:00,619,319,300
2023-02-01T00:00:00,551,279,272
2023-02-02T00:00:00,441,209,232
2023-02-03T00:00:00,681,356,325
2023-02-04T00:00:00,595,276,319
2023-02-05T00:00:00,128,54,74
2023-02-06T00:00:00,756,382,374
2023-02-07T00:00:00,776,398,378
2023-02-08T00:00:00,828,413,415
2023-02-09T00:00:00,729,367,362
2023-02-10T00:00:00,726,388,338
2023-02-11T00:00:00,467,222,245
2023-02-12T00:00:00,332,145,187
2023-02-13T00:00:00,995,516,479
2023-02-14T00:00:00,1425,730,695
2023-02-15T00:00:00,1136,575,561
2023-02-16T00:00:00,836,443,393
2023-02-17T00:00:00,660,337,323
2023-02-18T00:00:00,280,128,152
2023-02-19T00:00:00,182,84,98
2023-02-20T00:00:00,680,330,350
2023-02-21T00:00:00,807,415,392
2023-02-22T00:00:00,1012,524,488
2023-02-23T00:00:00,663,322,341
2023-02-24T00:00:00,622,316,306
2023-02-25T00:00:00,494,230,264
2023-02-26T00:00:00,275,147,128
2023-02-27T00:00:00,827,430,397
2023-02-28T00:00:00,1186,587,599
2023-03-01T00:00:00,890,459,431
2023-03-02T00:00:00,980,506,474
2023-03-03T00:00:00,1170,626,544
2023-03-04T00:00:00,483,218,265
2023-03-05T00:00:00,201,92,109
2023-03-06T00:00:00,741,380,361
2023-03-07T00:00:00,425,215,210
2023-03-08T00:00:00,405,208,197
2023-03-09T00:00:00,544,292,252
2023-03-10T00:00:00,475,253,222
2023-03-11T00:00:00,512,259,253
2023-03-12T00:00:00,226,104,122
2023-03-13T00:00:00,831,421,410
2023-03-14T00:00:00,553,279,274
2023-03-15T00:00:00,853,447,406
2023-03-16T00:00:00,960,495,465
2023-03-17T00:00:00,944,506,438
2023-03-18T00:00:00,843,453,390
2023-03-19T00:00:00,340,173,167
2023-03-20T00:00:00,977,477,500
2023-03-21T00:00:00,1086,559,527
2023-03-22T00:00:00,1001,525,476
2023-03-23T00:00:00,831,431,400
2023-03-24T00:00:00,842,429,413
2023-03-25T00:00:00,415,184,231
2023-03-26T00:00:00,156,79,77
2023-03-27T00:00:00,1193,609,584
2023-03-28T00:00:00,967,486,481
2023-03-29T00:00:00,985,511,474
2023-03-30T00:00:00,750,377,373
2023-03-31T00:00:00,522,257,265
2023-04-01T00:00:00,272,124,148
2023-04-02T00:00:00,268,148,120
2023-04-03T00:00:00,910,439,471
2023-04-04T00:00:00,894,456,438
2023-04-05T00:00:00,990,490,500
2023-04-06T00:00:00,783,407,376
2023-04-07T00:00:00,107,54,53
2023-04-08T00:00:00,566,291,275
2023-04-09T00:00:00,370,178,192
2023-04-10T00:00:00,437,209,228
2023-04-11T00:00:00,828,434,394
2023-04-12T00:00:00,502,246,256
2023-04-13T00:00:00,732,329,403
2023-04-14T00:00:00,989,453,536
2023-04-15T00:00:00,528,227,301
2023-04-16T00:00:00,335,143,192
2023-04-17T00:00:00,1048,469,579
2023-04-18T00:00:00,1081,477,604
2023-04-19T00:00:00,1251,634,617
