Time,Gesamt,Stadteinwärts,Stadtauswärts,
2020-01-01 00:00:00,129,52,77,
2020-01-02 00:00:00,398,195,203,
2020-01-03 00:00:00,293,140,153,
2020-01-04 00:00:00,294,132,162,
2020-01-05 00:00:00,182,93,89,
2020-01-06 00:00:00,664,342,322,
2020-01-07 00:00:00,718,367,351,
2020-01-08 00:00:00,585,278,307,
2020-01-09 00:00:00,590,281,309,
2020-01-10 00:00:00,557,276,281,
2020-01-11 00:00:00,469,225,244,
2020-01-12 00:00:00,220,114,106,
2020-01-13 00:00:00,737,356,381,
2020-01-14 00:00:00,537,271,266,
2020-01-15 00:00:00,738,376,362,
2020-01-16 00:00:00,788,402,386,
2020-01-17 00:00:00,605,314,291,
2020-01-18 00:00:00,360,162,198,
2020-01-19 00:00:00,200,95,105,
2020-01-20 00:00:00,623,289,334,
2020-01-21 00:00:00,641,313,328,
2020-01-22 00:00:00,579,273,306,
2020-01-23 00:00:00,630,317,313,
2020-01-24 00:00:00,590,308,282,
2020-01-25 00:00:00,394,174,220,
2020-01-26 00:00:00,245,128,117,
2020-01-27 00:00:00,504,238,266,
2020-01-28 00:00:00,400,190,210,
2020-01-29 00:00:00,543,263,280,
2020-01-30 00:00:00,648,336,312,
2020-01-31 00:00:00,694,364,330,
2020-02-01 00:00:00,228,103,125,
2020-02-02 00:00:00,110,50,60,
2020-02-03 00:00:00,591,280,311,
2020-02-04 00:00:00,493,246,247,
2020-02-05 00:00:00,671,338,333,
2020-02-06 00:00:00,622,317,305,
2020-02-07 00:00:00,728,368,360,
2020-02-08 00:00:00,445,216,229,
2020-02-09 00:00:00,127,59,68,
2020-02-10 00:00:00,250,125,125,
2020-02-11 00:00:00,403,198,205,
2020-02-12 00:00:00,469,223,246,
2020-02-13 00:00:00,490,243,247,
2020-02-14 00:00:00,541,267,274,
2020-02-15 00:00:00,541,266,275,
2020-02-16 00:00:00,158,65,93,
2020-02-17 00:00:00,643,325,318,
2020-02-18 00:00:00,601,300,301,
2020-02-19 00:00:00,623,305,318,
2020-02-20 00:00:00,597,297,300,
2020-02-21 00:00:00,575,282,293,
2020-02-22 00:00:00,276,128,148,
2020-02-23 00:00:00,54,20,34,
2020-02-24 00:00:00,388,203,185,
2020-02-25 00:00:00,493,233,260,
2020-02-26 00:00:00,376,182,194,
2020-02-27 00:00:00,444,217,227,
2020-02-28 00:00:00,583,283,300,
2020-02-29 00:00:00,340,169,171,
2020-03-01 00:00:00,219,106,113,
2020-03-02 00:00:00,574,287,287,
2020-03-03 00:00:00,680,335,345,
2020-03-04 00:00:00,619,301,318,
2020-03-05 00:00:00,478,230,248,
2020-03-06 00:00:00,428,200,228,
2020-03-07 00:00:00,502,259,243,
2020-03-08 00:00:00,287,131,156,
2020-03-09 00:00:00,616,296,320,
2020-03-10 00:00:00,370,185,185,
2020-03-11 00:00:00,411,207,204,
2020-03-12 00:00:00,576,287,289,
2020-03-13 00:00:00,556,278,278,
2020-03-14 00:00:00,563,293,270,
2020-03-15 00:00:00,454,248,206,
2020-03-16 00:00:00,885,421,464,
2020-03-17 00:00:00,859,410,449,
2020-03-18 00:00:00,929,457,472,
2020-03-19 00:00:00,702,342,360,
2020-03-20 00:00:00,522,257,265,
2020-03-21 00:00:00,407,208,199,
2020-03-22 00:00:00,320,168,152,
2020-03-23 00:00:00,563,293,270,
2020-03-24 00:00:00,663,339,324,
2020-03-25 00:00:00,670,347,323,
2020-03-26 00:00:00,678,331,347,
2020-03-27 00:00:00,805,431,374,
2020-03-28 00:00:00,829,436,393,
2020-03-29 00:00:00,99,55,44,
2020-03-30 00:00:00,482,239,243,
2020-03-31 00:00:00,591,308,283,
2020-04-01 00:00:00,736,363,373,
2020-04-02 00:00:00,600,293,307,
2020-04-03 00:00:00,534,274,260,
2020-04-04 00:00:00,804,417,387,
2020-04-05 00:00:00,836,439,397,
2020-04-06 00:00:00,962,515,447,
2020-04-07 00:00:00,903,492,411,
2020-04-08 00:00:00,1107,573,534,
2020-04-09 00:00:00,1001,526,475,
2020-04-10 00:00:00,801,430,371,
2020-04-11 00:00:00,987,536,451,
2020-04-12 00:00:00,894,489,405,
2020-04-13 00:00:00,381,213,168,
2020-04-14 00:00:00,673,347,326,
2020-04-15 00:00:00,1007,543,464,
2020-04-16 00:00:00,1147,615,532,
2020-04-17 00:00:00,1088,554,534,
2020-04-18 00:00:00,744,388,356,
2020-04-19 00:00:00,932,488,444,
2020-04-20 00:00:00,1020,519,501,
2020-04-21 00:00:00,1009,510,499,
2020-04-22 00:00:00,1188,607,581,
2020-04-23 00:00:00,1272,636,636,
2020-04-24 00:00:00,1229,615,614,
2020-04-25 00:00:00,1002,493,509,
2020-04-26 00:00:00,1019,554,465,
2020-04-27 00:00:00,1278,656,622,
2020-04-28 00:00:00,657,342,315,
2020-04-29 00:00:00,685,344,341,
2020-04-30 00:00:00,697,358,339,
2020-05-01 00:00:00,372,193,179,
2020-05-02 00:00:00,390,193,197,
2020-05-03 00:00:00,769,409,360,
2020-05-04 00:00:00,847,398,449,
2020-05-05 00:00:00,1171,602,569,
2020-05-06 00:00:00,1258,632,626,
2020-05-07 00:00:00,1354,699,655,
2020-05-08 00:00:00,1328,684,644,
2020-05-09 00:00:00,1350,670,680,
2020-05-10 00:00:00,373,199,174,
2020-05-11 00:00:00,852,423,429,
2020-05-12 00:00:00,953,479,474,
2020-05-13 00:00:00,971,504,467,
2020-05-14 00:00:00,1105,593,512,
2020-05-15 00:00:00,1146,575,571,
2020-05-16 00:00:00,997,497,500,
2020-05-17 00:00:00,957,534,423,
2020-05-18 00:00:00,1271,620,651,
2020-05-19 00:00:00,1317,663,654,
2020-05-20 00:00:00,1380,690,690,
2020-05-21 00:00:00,1126,564,562,
2020-05-22 00:00:00,1077,541,536,
2020-05-23 00:00:00,947,441,506,
2020-05-24 00:00:00,385,196,189,
2020-05-25 00:00:00,1061,562,499,
2020-05-26 00:00:00,1370,706,664,
2020-05-27 00:00:00,1433,734,699,
2020-05-28 00:00:00,1317,694,623,
2020-05-29 00:00:00,1308,673,635,
2020-05-30 00:00:00,1116,578,538,
2020-05-31 00:00:00,818,428,390,
2020-06-01 00:00:00,1114,607,507,
2020-06-02 00:00:00,1343,710,633,
2020-06-03 00:00:00,1363,704,659,
2020-06-04 00:00:00,575,300,275,
2020-06-05 00:00:00,593,312,281,
2020-06-06 00:00:00,727,343,384,
2020-06-07 00:00:00,497,277,220,
2020-06-08 00:00:00,1100,593,507,
2020-06-09 00:00:00,1125,589,536,
2020-06-10 00:00:00,1044,557,487,
2020-06-11 00:00:00,756,354,402,
2020-06-12 00:00:00,1328,701,627,
2020-06-13 00:00:00,891,454,437,
2020-06-14 00:00:00,317,165,152,
2020-06-15 00:00:00,1164,618,546,
2020-06-16 00:00:00,770,383,387,
2020-06-17 00:00:00,1022,526,496,
2020-06-18 00:00:00,888,463,425,
2020-06-19 00:00:00,1273,704,569,
2020-06-20 00:00:00,1100,586,514,
2020-06-21 00:00:00,1024,549,475,
2020-06-22 00:00:00,1176,626,550,
2020-06-23 00:00:00,1490,794,696,
2020-06-24 00:00:00,1380,728,652,
2020-06-25 00:00:00,1400,715,685,
2020-06-26 00:00:00,1334,693,641,
2020-06-27 00:00:00,808,412,396,
2020-06-28 00:00:00,562,278,284,
2020-06-29 00:00:00,1043,539,504,
2020-06-30 00:00:00,1015,537,478,
2020-07-01 00:00:00,472,245,227,
2020-07-02 00:00:00,1045,562,483,
2020-07-03 00:00:00,1073,566,507,
